no,year,month,day,starttime,endtime,eventname,contents,place,lat,lng,target,entry,fee,icon
1,2015,11,01,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over5
2,2015,11,03,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
3,2015,11,05,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
4,2015,11,10,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over5
5,2015,11,11,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
6,2015,11,12,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
7,2015,11,21,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over5
8,2015,11,22,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
9,2015,11,26,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
10,2015,11,27,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
11,2015,11,29,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
12,2015,11,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
