no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆Ｅ・Ｆ・Ｇ 〜ママとベビーの英会話〜☆絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日１０：００〜１０：４です。今月は１日と２２日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/06/01,10:00:00,10:45:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、1日・１５日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/01,09:00:00,11:00:00,suzu_pink,,2016/06/29 15:53:19,reisiu.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/01,09:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
27,絵本のリユース,こどもみらいセンター（能登町）,どなたでも,自宅で眠っている本はありませんか？回収した絵本は必要な方にお譲りします。６月１日より利用可能です。回収場所：こどもみらいセンター　本の種類：絵本・子供向けの本・図鑑など　回収期間５月１日（日）～,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/01,09:15:00,17:30:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
2,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8032,無料,2016/06/02,10:30:00,11:15:00,,,2016/06/29 15:53:19,yamagami.csv,reisiu
20,のとノットアローン開発日！,輪島市子育て支援センター・児童センター,どなたでも！,「のとノットアローン」 は、イベント情報や、子どもたちとお出かけしやすい場所、お茶できるところなどが見られる能登地方の子育て応援サイトとして、いろんな人が自主的に参加して作っています。 　 皆さんも情報を充実させていきませんか？ 　 パソコン使えないって人も大丈夫。「のとノットアローン」でこんなこと分かるといいな！を持ち寄って、一緒に作りましょう！ ご興味のある方はぜひご参加くださいね。,Code for kanazawaプロジェクトNNA！,こちらのお問い合わせ先をごらんください　http://noto.not-alone.jp/about.html,0,2016/06/02,13:00:00,15:00:00,,,2016/06/29 15:53:19,reisiu_05_06.csv,reisiu
,みらい育てネットすず合同レクリエーション大会,珠洲健民体育館,鵜飼、上戸、飯田、若山、正院保育所年長児親子、保育所に入っていない在宅児と保護者,☆みらい子育てネットすず５クラブ合同レクリェーション大会☆日時：６月４日（土）９：００〜１１：３０（受付８：３０〜）○場所：健民体育館（現地集合）○対象：鵜飼、上戸、飯田、若山、正院保育所年長児親子、保育所に入っていない在宅児と保護者○ 内容：鵜飼、上戸、飯田、若山、正院保育所年長児親子が集まって体操やゲームをして楽しいひとときを過ごします。 在宅児と保護者のプログラムで「おみやげチョーダイ」もありますので、是非来て下さいね！参加希望の方は、子育て支援センターまでお電話下さい。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/04,09:00:00,11:30:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
1,輪島市民まつりパレード参加,マリンタウン～ふらっと訪夢,どなたでも,わんじまがパレードに参加,石川県輪島漆芸美術館,0768-22-9788,0,2016/06/04,14:30:00,16:30:00,wajima_blue,,2016/06/29 15:53:19,nnain.csv,reisiu
35,サンドウィッチ作り,こどもみらいセンター（能登町）,小学生,好きな具をサンドしてサンドウィッチ作りに挑戦！,こどもみらいセンター（能登町）,0768(62)1503,100,2016/06/04,10:00:00,12:00:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/07,10:00:00,10:20:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
15,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/06/07,10:00:00,11:00:00,,,2016/06/29 15:53:19,takese_kensui0321.csv,reisiu
19,のとノットアローン開発日！,穴水町児童館,どなたでも！,「のとノットアローン」 は、イベント情報や、子どもたちとお出かけしやすい場所、お茶できるところなどが見られる能登地方の子育て応援サイトとして、いろんな人が自主的に参加して作っています。 　 皆さんも情報を充実させていきませんか？ 　 パソコン使えないって人も大丈夫。「のとノットアローン」でこんなこと分かるといいな！を持ち寄って、一緒に作りましょう！ ご興味のある方はぜひご参加くださいね。,Code for kanazawaプロジェクトNNA！,こちらのお問い合わせ先をごらんください　http://noto.not-alone.jp/about.html,0,2016/06/07,10:00:00,11:30:00,,,2016/06/29 15:53:19,reisiu_05_06.csv,reisiu
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,妊娠中の方・乳幼児をお持ちのママ,子育てや親子関係などママたちがそれぞれ持っている不安や気がかりについて 率直に安心してうちあけられるようなおしゃべりタイムです。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/08,10:00:00,11:30:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/08,09:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
36,踊り、歌遊び、育児相談、情報交換、園児との交流,認定こども園柳田保育所,未収園児とその保護者,踊り、歌遊び、育児相談、情報交換、園児との交流,認定こども園柳田保育所,0768(76)0154,0,2016/06/09,10:00:00,11:00:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆参加ご希望の方は、前日までに珠洲市子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/06/10,10:00:00,11:30:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
29,MamaCafe,こどもみらいセンター（能登町）,未就園児とその保護者,皆さんでゆっくりとお茶を飲みながら、子育て中のお母さん同士の交流を楽しみましょう,こどもみらいセンター（能登町）,0768(62)1503,300,2016/06/10,10:30:00,12:00:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/11,15:30:00,16:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/11,10:00:00,12:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,将棋教室,輪島市子育て支援センター・児童センター,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/11,10:00:00,12:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,暑中見舞いボランティア,輪島市もんぜん児童館,小学生～大人,市内75歳以上の一人暮らしの方に贈る、暑中見舞いのハガキを作ります。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/11,10:00:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,「いい歯いい食健康フェア」,ふれあい健康センター,どなたでも,健康フェアにぜひご参加ください。,輪島市健康推進課,0768-23-1136,0,2016/06/12,09:30:00,12:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
34,無料歯科検診と工作教室,こどもみらいセンター（能登町）,幼児～小学生,無料歯科検診を開催します。歯科検診受診後に工作教室を行います。会場：コンセールのと　幼児：おえかききんちゃく袋　小学生：段ボール工作（うさぎ・ハムスター・クワガタ）又は麦わら帽子のブローチ　各定員10名,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/12,10:00:00,12:00:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
8,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/06/13,10:00:00,11:30:00,,,2016/06/29 15:53:19,anamizuh28.csv,reisiu
