no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/01,10:00:00,12:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
88,おはなし会,穴水町児童館,1階小会議室,小学生,絵本・すばなし・紙芝居など。「こぐまグループ」のみなさん,穴水町,児童館,0,2016/10/01,10:30:00,11:30:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
97,元気いっぱい運動会,認定こども園しらさぎ保育所,,未収園児とその保護者,園児と一緒に運動会を楽しみましょう！,認定こども園しらさぎ保育所,0768(62)0304,0,2016/10/01,09:00:00,12:00:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
101,運動会に参加しよう,認定こども園上町保育所,,未収園児とその保護者,運動会に参加して楽しみましょう！,認定こども園上町保育所,0768(76)0136,0,2016/10/01,09:00:00,12:00:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
,おしごとたいけん説明会,輪島市子育て支援センター・児童センター,,おしごとたいけん申込者,おしごとたいけんの説明会を開きます。参加者にはおしごとたいけんに使える50わんがもらえます。１０時～１１時か１時～２時のつごうのよい時間帯に参加してください。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/02,10:00:00,11:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,おしごとたいけん説明会,輪島市子育て支援センター・児童センター,,おしごとたいけん申込者,おしごとたいけんの説明会を開きます。参加者にはおしごとたいけんに使える50わんがもらえます。１０時～１１時か１時～３時のつごうのよい時間帯に参加してください。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/02,13:00:00,14:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
4,稲刈りと生き物観察,輪島市町野町金蔵,,親子、大人、どなたでも,９時３０分輪島市町野町金蔵ゲストハウス集合　稲刈り、生き物観察、定員１０家族　講師　水生昆虫研究者野村進也氏　蛾類研究者熊谷直哉氏　農家向一郎氏　持ち物　弁当、スープに入れる切った野菜（自分の家が食べるくらいの量）味噌（自分の家が食べるくらいの量）、スープを入れるお椀、箸など、水筒、帽子、虫よけ、タオル、着替え　服装　汚れてもいい服装、長靴　雨天決行,輪島親子昆虫クラブ,wajima.konchuclub@gmail.com 3日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,500,2016/10/02,09:30:00,14:00:00,,,2016/10/09 14:31:23,motoguchi.csv,reisiu
11,すくすく相談,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/10/03,10:00:00,11:30:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/04,10:00:00,10:20:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
19,輪島市乳幼児健康相談,輪島市もんぜん児童館,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/10/04,10:00:00,11:00:00,,,2016/10/09 14:31:23,takese_kensui0321.csv,reisiu
92,子育て教室（親子対象）,穴水町児童館,,乳幼児,ヨガでリラックス（インストラクター村上さん）※託児有（要予約）,穴水町,穴水町児童館(0768-52-3220),0,2016/10/04,10:30:00,11:30:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,ママぴよタイム,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,☆ママぴよタイム☆～くみ先生とロールケーキ～　内容：バナナロールケーキ作りのデモンストレーション　参加費：親子で１００円　持ち物：取り皿・スプーン又はフォーク・飲み物　☆参加ご希望の方は３日（月）までに、子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,100,2016/10/05,10:00:00,11:00:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
