no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid,timestamp,soucefile,totaluser
,2017/04/04,たんぽぽ読み聞かせ,10:00:00,10:20:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef8792529,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/04,輪島市乳幼児健康相談,10:00:00,11:00:00,輪島市もんぜん児童館,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,,,0,,,evt58ef88c3659,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
,2017/04/05,保育所開放日,09:00:00,11:00:00,null,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,,,0,,suzu_pink,evt58ef8799113,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
184,2017/04/06,お友達になりましょう,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,お友達になりましょう,穴水町,0768-52-2130,,平和こども園,0,,,evt58f020d1802,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/07,ママのためのセラピーアラカルト,10:00:00,11:30:00,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆☆参加ご希望の方は、子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87a7939,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/08,児童館にあつまれ～　オリジナルハンカチつくり,14:00:00,15:00:00,珠洲市子育て支援センター・児童館,,小学生・年長中児と保護者,☆児童館にあつまれ～！☆　場 　所：じどうかんのお部屋　　内 　容：オリジナルハンカチつくり　　対 　象：小学生・年長中児と保護者　　　７名　　　　　☆参加ご希望の方は、７日（金）までに児童館に お申し込みください。定員になりしだいしめきりです。,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87f4138,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/08,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,evt58ef882d337,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
172,2017/04/08,自然体験プログラム①～みらいセンターにじゃが芋畑をつくろう！～,10:00:00,11:00:00,こどもみらいセンター（能登町）,,どなたでも,みらいセンターのノームファームにジャガイモ畑を作ります！おやつ付きです★収穫も楽しみにしながら皆でじゃが芋畑を作りましょう！小さな子は土を触るだけでも楽しめそうですね♪持ち物：長靴・汗ふきタオル　,こどもみらいセンター（能登町）,0768(62)1503,,,100,,null,evt58ef86c6047,2017/04/15 14:50:31,mirai461_evt_0119.csv,reisiu
194,2017/04/08,児童ダンスクラブ,10:00:00,11:00:00,穴水町児童館,２階多目的ホール,小学生,仲間とダンスの練習,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78f0055,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/09,入学・進級おめでとうの会,13:30:00,15:00:00,輪島市子育て支援センター・児童センター,,幼児・小学生～保護者　※幼児は保護者同伴,新１年生、上級生、保育所（園）、幼稚園のお友達も一緒に楽しく遊びましょう！センタークイズも全問正解できるかな？お話や工作もおります！※５、６年生の子どもスタッフ大募集！午前１０時よりスタッフ会議です）,輪島市子育て支援センター・児童センター,0768-22-8031,,,0,,,evt58ef8858355,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
