no,category1,category2,name,phone,address,memo,lat,lng
1,相談ごとなんでも,,能登ノットアローンが独自にお勧めする相談先！,,,子育ては一人でできるものではありません。 ちょっとした困ったことでも気軽に相談できる おすすめの相談先を紹介します。,,
2,相談ごとなんでも,輪島市子育て支援センター･児童センター,地図：輪島市子育て支援センター,0768-22-8031,石川県輪島市河井町２−２８７−１,体験者談：いくつになっても子育ての悩みは尽きません。0~18才まで切れ目なく相談できます。遊びに行ってちょこっと、電話でしっかり、どちらも優しく対応してくれます。,37.39412464750178,136.9012302160263
3,相談ごとなんでも,児童家庭支援センターあすなろ子育て広場,地図：児童家庭支援センターあすなろ子育て広場,0768-52-4141,kosodate@sweet.ocn.ne.jp,月～金9:00～17:00　体験者談： 穴水町にあります。子どもを別室に預けて １時間程じっくり相談にのってもらって 気分が軽くなったことがありました。電話相談もできますよ。,37.2021536,136.8982162
4,相談ごとなんでも,パパママ・ホッとライン,地図：いしかわ子ども交流センター,（076）214-5666,,火～金（10:00～15:00）　体験者談： xxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxx,36.5946816,136.6255726
5,相談ごとなんでも,おやこの広場あさがお,地図：おやこの広場あさがお,076-275-8677,,月～土　9:30～17:00 　　　　体験者談： 白山市にある子育て支援施設です。 電話すればスタッフさんがどんな話しでも聞いてくれて元気になれますよ！,36.524562,136.563123
6,相談ごとなんでも,２４時間いつでも！,児童相談所,全国共通ダイヤル:189,,２４時間つながります。 子どもと一緒にいるのが辛くてたまらない、とか 手を上げてしまう、などのときは迷わず相談してみましょう。,,
7,健康・発育,子どもの健康,輪島市健康推進課　,0768-23-1136,石川県輪島市二ツ屋町２−２９ 輪島市役所本庁舎,,37.390556,136.89916700000003
8,健康・発育,子どもの健康,輪島市門前保健センター,0768-42-1313,石川県輪島市門前町深田２１−１７－１,,37.2883282036044,136.77943646907806
9,健康・発育,子どもの健康,石川県能登北部保険福祉センター,0768-22-2011,石川県七尾市本府中町ソ−２７−９,石川県能登中部保健所,37.04012432355764,136.97115004062653
10,健康・発育,病院,輪島市立輪島病院,0768-22-2222,輪島市山岸町は1-1,,37.38414792670873,136.90549492835999
11,健康・発育,病院,珠洲市総合病院,0768-82-1181,珠洲市野々江町ユ部1-1,,37.443688067855824,137.27066159248352
12,健康・発育,病院,公立穴水総合病院,0768-52-0511,鳳珠郡穴水町字川島夕-8,,37.23343775859354,136.90961748361588
13,健康・発育,病院,公立宇出津総合病院,0768-62-1311,鳳珠郡能登町宇出津夕97,,37.308548998090224,137.14699029922485
14,保育所・幼稚園,保育所、家庭児童相談など,輪島市福祉課,0768-23-1161,,,,
15,学校,輪島市は輪島市教育委員会にお問い合わせを,輪島市教育委員会,0768-23-1171,,,,
16,学校,輪島市の放課後児童クラブは輪島市社会福祉協議会にお問い合わせを,輪島市社会福祉協議会,,,,,
17,学校,珠洲市,,,,,,
18,助成制度・その他,出生届、チャイルドシート助成,輪島市三井出張所,0768-26-1211,,,,
19,助成制度・その他,出生届、チャイルドシート助成,輪島市市民課,0768-23-1131,,,,
20,助成制度・その他,出生届、チャイルドシート助成,輪島市門前総合支所,0768-41-1111,,,,
21,助成制度・その他,出生届、チャイルドシート助成,輪島市町野支所,0768-32-0001,,,,
22,助成制度・その他,出生届、チャイルドシート助成,輪島市西保出張所,0768-36-2001,,,,
23,助成制度・その他,出生届、チャイルドシート助成,輪島市南志見出張所,0768-34-1001,,,,
24,助成制度・その他,乳幼児医療費,輪島市福祉課,0768-23-1161,,,,
25,助成制度・その他,子ども手当,輪島市福祉課,0768-23-1161,,,,
26,助成制度・その他,障がい児手帳・療育手帳交付,輪島市福祉課,0768-23-1161,,,,
27,助成制度・その他,公費負担医療制度,石川県能登北部保険福祉センター,0768-22-2011,,,,
28,助成制度・その他,ひとり親支援,輪島市福祉課,0768-23-1161,,,,
29,助成制度・その他,子宝支援（不妊治療費助成）,輪島市健康推進課　,0768-23-1136,,,,
