no,target_label,target_id,color,text_color,icon,memo,visible
1,輪島blue,wajima_blue,#87BCE1,#603B32,,,
2,珠洲pink,suzu_pink,#E99B9D,#603B32,,,
3,能登町orange,nototyo_orange,#ECDE6C,#603B32,,,
4,穴水green,anamizu_green,#D2DF95,#603B32,,,
5,その他の地域,sonota_purple,#dbd0e6,#603B32,,,
6,輪島市,輪島市,#87BCE1,#603B32,,,
7,珠洲市,珠洲市,#E99B9D,#603B32,,,
8,能登町,能登町,#ECDE6C,#603B32,,,
9,穴水町,穴水町,#D2DF95,#603B32,,,
10,七尾市,七尾市,#dbd0e6,#603B32,,,
11,志賀町,志賀町,#dbd0e6,#603B32,,,
12,中能登町,中能登町,#dbd0e6,#603B32,,,
13,羽咋市,羽咋市,#dbd0e6,#603B32,,,
14,宝達志水町,宝達志水町,#dbd0e6,#603B32,,,
15,かほく市,かほく市,#dbd0e6,#603B32,,,
