no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,URL
1,,5,一時預かり,NPO法人子ども館,能美郡川北町字土室丙114-10,36.4731042,136.5470612,(076)277-3632,,休日保育・夜間保育あり,,,,,,http://www.kosodate-web.com/kodomokan/
2,,5,一時預かり,こども家庭支援センター金沢,金沢市平和町3-23-5（享誠塾敷地内）,36.5387698,136.6627276,(076)243-8341,,ショートステイ・トワイライトステイ,,,,,,
3,,5,一時預かり,ななお乳児園,七尾市津向町ハ部35-5,37.0564167,136.9525464,(0767)52-1411,,ショートステイ・トワイライトステイ,,,,,,
4,,5,一時預かり,伊奈美園ファミリーステーションいなみえん,加賀市片山津温泉井6,36.3417761,136.3677845,(0761)74-5555,(0761)75-8889,ショートステイ・トワイライトステイ,,,,,,
5,,5,一時預かり,育松園,小松市軽海町ノ25-23（市こども家庭課,36.3964188,136.5143016,(0761)24-8054,,ショートステイ・トワイライトステイ,,,,,,
6,,5,一時預かり,聖霊乳児院,金沢市長町1-5-30,36.5656692,136.6503414,(076)223-2878,,ショートステイ 2歳児未満,,,,,,
7,,5,一時預かり,野町夜間保育園,金沢市野町3-24-32,36.5530207,136.6500141,(076)244-6458,,トワイライトステイ 午前2時まで,,,,,,
8,,5,病児・病後児保育,石川県立中央病院 病児保育室 ひよこ,石川県金沢市鞍月東2-1,36.5949871,136.630875,(076)238-7868,,,,,,,,
9,,5,病児・病後児保育,金沢大学 病児保育室 たんぽぽルーム,石川県金沢市宝町13-1,36.5571509,136.6736014,(076)265-2990,,,,,,,,
10,,5,病児・病後児保育,健生クリニック 病児保育室 ほっとルーム,石川県金沢市平和町3-5-2,36.5411417,136.6609221,(076)241-9062,,,,,,,,
11,,5,病児・病後児保育,城北病院 病児保育室 はっぴー,石川県金沢市京町20-3,36.5824225,136.6564683,(076)253-0561,,,,,,,,
12,,5,病児・病後児保育,聖霊乳児院 病児デイサービスセンター,石川県金沢市長町1-5-30,36.5656692,136.6503414,(076)223-2980,,,,,,,,
13,,5,病児・病後児保育,松田小児科医院 ひまわりるーむ,石川県金沢市片町2-13-13,36.560917,136.6509888,(076)231-1260,,,,,,,,
14,,5,病児・病後児保育,横井小児科内科医院 病児保育室 こりすの里,石川県金沢市菊川1-10-3,36.5511461,136.6621134,(076)262-8551,,,,,,,,
15,,5,病児・病後児保育,恵寿総合病院 病児保育室 あんず,石川県七尾市富岡町94,37.0507538,136.9615791,(0767)52-3211,,,,,,,,
16,,5,病児・病後児保育,小松市民病院 こまつ病児保育ルーム,石川県小松市向本折町ホ60,36.3986303,136.4393331,(0761)23-2626,,,,,,,,
17,,5,病児・病後児保育,加賀市民病院 病児・病後児保育室 はとぽっぽ,石川県加賀市大聖寺八間道65,36.3079069,136.3098136,(0761)73-5830,,,,,,,,
18,,5,病児・病後児保育,山中温泉医療センター このゆびとーまれ山中,石川県加賀市山中温泉上野町ル15-1,36.2535568,136.369354,(0761)78-0301,,,,,,,,
19,,5,病児・病後児保育,白山市病児保育センター,石川県白山市倉光3-75-2,36.5101648,136.5649092,(076)276-0050,,,,,,,,
20,,5,病児・病後児保育,能美市病児保育センター,石川県能美市大浜町ノ35-1,36.454628,136.4602657,(0761)58-2277,,,,,,,,
21,,5,病児・病後児保育,ポニーポッシュ,石川県野々市市横宮町16-9,36.5339666,136.6167038,(076)248-7780,,,,,,,,
22,,5,病児・病後児保育,金沢医科大学病院 病児保育室 すまいる,石川県河北郡内灘町字大学1-1,36.6562239,136.6468333,(076)218-8059,,,,,,,,
23,,5,病児・病後児保育,市立輪島病院 院内保育所 ひまわり,石川県輪島市山岸町は1-1,37.3840938,136.9055566,(0768)22-2222,,病後児保育,,,,,,
24,,5,病児・病後児保育,輪島市子育て支援センター,石川県輪島市河井町2-287-1,37.3941343,136.9012258,(0768)22-8031,,病後児保育,,,,,,
25,,5,病児・病後児保育,子育て支援センター菅原,石川県野々市市菅原町8-33,36.5285367,136.6163455,(076)248-4634,,病後児保育,,,,,,
26,,5,病児・病後児保育,NPO法人子ども館,石川県能美郡川北町字土室丙114-10,36.4731042,136.5470612,(076)277-3632,,病後児保育,,,,,,
27,,5,一時預かり,あすなろ学園,石川県鳳珠郡穴水町字志ヶ浦15字1-3,37.202346,136.898200,0768-52-3150, FAX 0768-52-4140,ショートステイ 病気、冠婚葬祭、事故等で一時的に児童の養育が困難になった時などに一時的に預かります。（例）放課後〜翌日まで 利用料 2歳未満児：5350円 2歳以上児：2750円,トワイライトステイ 仕事などが恒常的に夜間、休日に及ぶ場合に、児童に夕食や入浴を提供します。（要予約）（例）17：00〜22：00まで 利用料 夜間養護：750円 休日預かり：1350円　病後時保育はありません。,,,,,http://www.tokinoen.com/asunaro/framepage2.html
