no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,URL
71,,4,保育園,内灘町 小規模保育 りす,石川県河北郡内灘町鶴ケ丘１丁目５２,36.6388958713,136.6398060322,076-286-0255,076-286-4230,学校法人誠美幼稚園,,,,,,
54,,4,こども園,平和こども園かぶと,石川県鳳珠郡穴水町字甲レ177-1,37.2057208,137.0258563,(0768)58-1240,,２か月後から,,,7:30〜17:30,,,
72,,4,病院,公立穴水総合病院兜診療所,穴水町字甲レ１５２－４,37.205843,137.0244731,0768-58-1001,,,,,,,,
33,,4,小学校,穴水小学校,穴水町字大町ロの１６５の１,37.2272342,136.9072614,0768-52-0065,0768-52-3059,,,,,,,
36,,4,児童クラブ,穴水おひさまくらぶ（プルート内),穴水町字大町ト33番地３,37.2281285,136.9047616,0768-52-1564,0768-52-1564,,,,放課後～18：00：00,,,
34,,4,中学校,穴水中学校,穴水町大町ヌの２０１番地,37.2291117,136.9060503,0768-52-0225,0768-52-2642,,,,,,,
22,,4,こども園,認定こども園光琳寺保育所,穴水町字中居ワの20番地,37.2306015,136.9470794,0768-56-1023,0768-52-1564,,,,,,,
37,,4,保育園,神杉保育園,石川県鳳珠郡穴水町字中居ワ20,37.2306015,136.9470794,(0768)56-1344,,２か月後から,,,(月〜金)7:00〜18:00,,,
2,,4,病院,（法）北川内科クリニック,穴水町字大町い１７,37.225187820700334,136.9095504283905,0768-52-3555,,,,,,,,
31,,4,行政,穴水町役場,穴水町字川島ラの１７４番地,37.230995,136.9124745,0768-52-0300,0768-52-1196,,,,,,,
32,,4,行政,穴水町保健センター（健康推進課）,穴水町字川島タの３８番地,37.2334206744879,136.91015124320984,0768-52-3589,0768-52-3320,,,,08：30：00～17：30：００,,,
35,,4,児童クラブ,穴水こうようくらぶ,穴水町字比良イの24番地,37.23406986778074,136.95088863372803,0768-56-1033,0768-56-1033,,,,放課後～18：00：00,,,
70,,4,小学校,向洋小学校,穴水町字比良イの２４,37.23430904284794,136.95123195648193,0768-56-1010,0768-56-1347,,,,,,,
73,,4,病院,公立穴水総合病院,穴水町字川島タの８,37.233420982295776,136.90959917193595,0768-52-0511,,,,,,,,
81,,4,児童クラブ,KID’S夢工房,穴水町字川島タの2番地,37.234363805583534,136.9087395239468,0768-52-2130,0768-52-8160,,,,13：00：00～18：00：00,,,
3,,4,病院,（法）まるおかクリニック,穴水町字川島ろ５の２,37.2331056,136.9023061,0768-52-8228,,,,,,,,
1,,4,病院,（法）穴水こころのクリニック,穴水町字川島ヨ４７－１,37.2340223,136.9080721,0768-52-1012,,,,,,,,
55,,4,こども園,平和こども園,石川県鳳珠郡穴水町字川島タ2,37.2342889,136.9086665,(0768)52-2130,,２か月後から,,,6:40〜19:00,,,
63,,4,病院,尾張循環器・糖尿病・内科クリニック,穴水町字此木壱１２７番地,37.2425905,136.9002532,0768-52-1515,,,,,,,,
42,,4,保育園,町立鵜川保育所,石川県鳳珠郡能登町鵜川20-24,37.2545247,137.0837885,(0768)67-1623,,６か月後から,,,7:30〜18:00,,,
38,,4,病院,社会医療法人財団董仙会恵寿鳩ヶ丘クリニック,穴水町字麦ヶ浦１５・３９の１,37.2742178,136.9206767,0768-52-3335,,,,,,,,
40,,4,学校,石川県立七尾特別支援学校門前分校,石川県輪島市門前町平１の32番地,37.2827307,136.828688,,,,,,,,,
10,,4,小学校,輪島市立門前西小学校,石川県輪島市門前町道下1の123番地,37.2849636,136.7411007,,,,,,,,,
11,,4,小学校,輪島市立門前東小学校,石川県輪島市清水1の68番地,37.2876167,136.7669877,,,,,,,,,
59,,4,保育園,市立松風台保育所,石川県輪島市門前町道下4の2番地1,37.2877245,136.7446115,(0768)43-1130,,２か月後から,,,(月〜金)7:30〜18:30 (土)7:30〜13:00,,,
