<form name="form1" method="post" action="./search_enjoy_main.php" accept-charset="UTF-8">

ofEat0,食べる
ofEat1_Italian,イタリアン・フレンチ
ofEat2_Curry,カレー
ofEat3_Chinese,中華・ラーメン
ofEat4_Western,洋食・西洋料理
ofEat5_CheapBar,居酒屋
ofEat6_Japan,和食・寿司
ofEat7_Barbecue,焼肉・鉄板焼き
ofEat8_FamiRes,ファミレス・ファストフード
ofEat9_Coffee,カフェ・スイーツ
ofEat10_Others,その他

ofBuy0,買う
ofBuy1_Food,食品
ofBuy2_comod,日用品
ofBuy3_Clothes,衣類
ofBuy4_Station,学習用品
ofBuy5_House,住宅・不動産
ofBuy6_Car,自動車
ofBuy7_Others,その他

ofPlay0,遊ぶ
ofPlay1_Spot,体験・観光スポット
ofPlay2_Amuse,アミューズメント
ofPlay3_Stay,宿泊・温泉
ofPlay4_Park,公園
ofPlay5_Others,その他

id100,金沢市
id101,金沢北部
id102,金沢東部
id103,金沢駅西
id104,金沢西部
id105,金沢中部
id106,金沢南部
id002,七尾市
id003,小松市
id004,輪島市
id005,珠洲市
id006,加賀市
id007,羽咋市
id008,かほく市
id009,白山市
id010,能美市
id011,川北町
id012,野々市市
id013,津幡町
id014,宝達志水町
id015,内灘町
id016,中能登町
id017,志賀町
id018,穴水町
id019,能登町

ofS1_Lactation,授乳スペースあり
ofS2_Diaper,オムツ替えスペースあり
ofS3_Microwave,電子レンジあり
ofS4_Buttocks,おむつ又はおしりふきシートの設置(販売)
ofS5_PowderedMilk,粉ミルク用のお湯提供可
ofS6_BabyKeeper,子ども用トイレ・ベビーキーパーあり
ofS7_kidsCorner,キッズコーナーあり
ofS8_Stroller,ベビーカーの貸し出しあり
ofS9_Discount,子ども特典あり
ofS10_Menu,子どもメニューあり
ofS11_Nonsmoking,禁煙席あり
ofS12_PrivateRoom,個室あり
ofS13_Ozashiki,小上がり（お座敷）あり

ofPrepass,プレミアム・パスポートが使えるお店のみ
ofChaild,チャイルドプレミアム協賛店のみ
ofBaby,赤ちゃんの駅のみ
ofEngel,いしかわエンゼルマーク協賛店のみ
