no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1
1,ひなまつりの集い,穴水町子育て支援センター（平和こども園）,乳幼児,みんなでひなまつりを楽しもう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/03/03,09:30:00,11:00:00,
2,３月生まれのお友達・誕生会,穴水町子育て支援センター（平和こども園）,乳幼児,３月生まれのお友達をみんなで祝ってあげよう。,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/03/10,09:30:00,11:00:00,
3,家庭教育支援講座「親子ヨガで心も体もリフレッシュ」,穴水町子育て支援センター（平和こども園）,乳幼児,親子ヨガで心も体もリフレッシュしよう,穴水町,平和子ども園（0768-52-2130）,0,2016/03/17,09:30:00,11:00:00,
4,１年を振り返り子どもの成長を喜び合いましょう,穴水町子育て支援センター（平和こども園）,乳幼児,１年を振り返って子どもの成長を喜び合おう,穴水町,平和子ども園（0768-52-2130）,0,2016/03/24,09:30:00,11:00:00,
5,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/03/14,10:00:00,11:30:00,
6,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/04/11,10:00:00,11:30:00,
7,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/05/09,10:00:00,11:30:00,
8,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/06/13,10:00:00,11:30:00,
9,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/07/11,10:00:00,11:30:00,
10,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/09/12,10:00:00,11:30:00,
