no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
1,2016/03/03,ひなまつりの集い,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,みんなでひなまつりを楽しもう,穴水町,,,平和こども園　（０７６８）５２－２１３０,0,,,
2,2016/03/10,３月生まれのお友達・誕生会,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,３月生まれのお友達をみんなで祝ってあげよう。,穴水町,,,平和こども園　（０７６８）５２－２１３０,0,,,
3,2016/03/17,家庭教育支援講座「親子ヨガで心も体もリフレッシュ」,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,親子ヨガで心も体もリフレッシュしよう,穴水町,,,平和子ども園（0768-52-2130）,0,,,
4,2016/03/24,１年を振り返り子どもの成長を喜び合いましょう,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,１年を振り返って子どもの成長を喜び合おう,穴水町,,,平和子ども園（0768-52-2130）,0,,,
5,2016/03/14,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
6,2016/04/11,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
7,2016/05/09,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
8,2016/06/13,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
9,2016/07/11,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
10,2016/09/12,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
11,2016/10/03,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
12,2016/11/14,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
13,2016/12/12,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
14,2017/02/13,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
15,2017/03/13,すくすく相談,10:00:00,11:30:00,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,,,穴水町健康推進課（0768-52-3589）,0,,,
16,2016/03/15,ママのホッとティータイム,10:00:00,11:30:00,穴水町児童館,,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,,,穴水町児童館（0768-52-3220）,0,,,
17,2016/04/19,ママのホッとティータイム,10:00:00,11:30:00,穴水町児童館,,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,,,穴水町児童館（0768-52-3220）,0,,,
18,2016/05/17,ママのホッとティータイム,10:00:00,11:30:00,穴水町児童館,,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,,,穴水町児童館（0768-52-3220）,0,,,
