no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
1,2016/08/28, でこ夜市 vol.３～虹のマーケット∼夕焼けライブ～たぬきの夜市,11:00:00,22:00:00,鉄板でこ　 珠洲市飯田町よー６,,どなたでも,紙芝居、工作ワークショップ、お弁当、雑貨販売などがあります。今年は昼から開催 短くて色濃い能登の夏の最後の小さなお祭り その場は型にはまり準備されたものではなく来る人々によって彩られ作り上げられる時・空間◎ 今年はどんな笑いとドラマが繰り広げられるのか この世は幻か 化かされているのか化かすのか ご予約不要 ふらりぶらりと◎どうぞ https://www.facebook.com/events/1840063682879978/,鉄板でこ,,,0768-82-7337,無料〜有料ワークショップや出店などあります,,珠洲市,
2,2016/11/26,森のおさんぽとお話し会〜里山で炭を使ってお茶をたてよう！,13:30:00,15:30:00,「柞（ははそ）の森」（大野製炭工場内）集合場所はお申し込み時にお知らせさせていただきます。,,未就学児～大人まで　どなたでも！大人だけの参加も♪,初冬の里山、クヌギの森をいろんな草花を見つけながらお散歩します。炭の工場を見学したら、ほっこりお茶タイムと、「さとやま劇場」もありますよ。  小さなドングリからクヌギの木が育ち、 炭になってお茶のお湯が沸くまでの時間を体験できるかも？ 　 土地に根ざした学びの場「まるやま組」を展開されている萩のゆきさんと、「森のようちえん」の考え方を大切に活動する坂井理笑がご案内します。初冬の森で楽しくすごしましょう。http://www.satoyama-satoumi.com/oraccha/ws/,NPO法人能登半島おらっちゃの里山里海,,,メール、電話、FaceBookページから,親子１組 2000,,suzu_pink,
3,2017/01/22,里山の恵み、お味噌を作ろう！,10:00:00,13:00:00,能登半島里山里海自然学校,（金沢大学能登学舎１F）,親子。未就学児～大人までどなたでも。大人だけの参加もOK♪,能登のお豆と能登のお塩で美味しいお味噌をつくります。みんなで持ち寄った野菜と米で、スープとおにぎりも作って食べましょう。 　 お話やお歌も考え中です。地産地消や大寒を感じてもらえるといいなと思っています。雪が降ったら雪遊びもしましょうね！,NPO法人能登半島おらっちゃの里山里海,,,メール、電話、FaceBookページから https://www.facebook.com/events/362793897429281/,親子１組 2000,,suzu_pink,
4,2017/01/15,フェアリーリングのおさんぽ会,10:00:00,14:00:00,石川県健康の森,,親子　年齢問わず,自然の中でゆったり過ごす「森のようちえん」の考え方を大切に、子どもたちをそっと見守りつつのんびりおさんぽしませんか。　,フェアリーリングのおさんぽ会,,,https://www.facebook.com/fairyring.noto/,0,,,
5,2017/01/23,わかちあい劇場,13:00:00,15:40:00,乗光寺,（珠洲市飯田町12-24),興味のある方,「憲法」って一体何だろう？「憲法」を変えるとどうなるんだろう？という事を、一般の人から識者から、色んな人のインタビューを繋げたドキュメンタリーです。 http://fushigina.jp 12:45 開場       13:00 前半上映       14:10 休憩       14:20 後半上映       15:40 わかちあいor自由解散　出張ルスバン喫茶（甘いおやつ、飲み物）もあります。 映画を観たあとにお茶を飲みながらおしゃべりの時間を設けます。お時間のある方はそちらにもご参加下さい。 会場の乗光寺には、巨大スクリーンがあります。広間の畳に寝転がったりしながら映画が楽しめます✨大型の暖房はありますが、心配な方、より快適に映画を観たい方はブランケットなどを持ってお越し下さい。お子様大歓迎です！ ベビースペースも作る予定です。,わかちあい劇場,,,08063549793(八重樫さやか),大人1000円  (前半、後半のみ各500円)  中高生200円,,suzu_pink,
6,2017/02/19,冬のため池で 生き物を観察しよう！,17:00:00,19:00:00,能登半島里山里海自然学校,（金沢大学能登学舎１F）,親子。未就学児～大人までどなたでも。大人だけの参加もOK♪,人間の子どもたちがお家に帰ってご飯を食べる頃・・里山の生き物たちが動きだします。 　 冬の夜しか見られない生き物たち、活動の様子を見に、里山へ探検に出かけませんか？ 　 みんなで持ち寄った野菜で、カレーを作って食べます。ご飯はこちらで準備します。 持ち物：カレー用に切った野菜、手拭き、懐中電灯、雨具,NPO法人能登半島おらっちゃの里山里海,,,メール、電話、FaceBookページから https://www.facebook.com/events/1387423754612862/,親子１組 2000,,suzu_pink,
7,2017/02/05,香りのワークショップby niji hana oto,10:00:00,15:00:00,飯田町１３−２９−１,小さなおうちのルスバン喫茶＆整体 （駐車は乗光寺をご利用ください）,どなたでも,お肌がカサカサしがちなこの季節 小さなおうちのルスバン喫茶＆整体では、２月５日と２６日にい〜い香りのワークショップを開催します。10時〜12時、13時〜15時　 お好きな時間でご予約ください♪●料金●　お茶がつきます 各900円 一家族２つ目から850円（いくつ作ってもOK） 能登の素材を使い、環境や身体に優しい石鹸などを作っているniji hana otoさんに教わります。 好きな香りをブレンド・・・自分が求める香りってどんな香り？家族や友だちでそれぞれ作った香りを比べるのも楽しいですね♪ 温かいお茶を飲みながら、わいわい作りましょう。お子さん大歓迎（畳です）！,小さなおうちのルスバン喫茶＆整体,,,080-6354-9793（やえがしさやか） メッセージでも受け付けができます。,900,,suzu_pink,
8,2017/02/26,香りのワークショップby niji hana oto,10:00:00,15:00:00,飯田町１３−２９−１,小さなおうちのルスバン喫茶＆整体 （駐車は乗光寺をご利用ください）,どなたでも,お肌がカサカサしがちなこの季節 小さなおうちのルスバン喫茶＆整体では、２月５日と２６日にい〜い香りのワークショップを開催します。10時〜12時、13時〜15時　 お好きな時間でご予約ください♪●料金●　お茶がつきます 各900円 一家族２つ目から850円（いくつ作ってもOK） 能登の素材を使い、環境や身体に優しい石鹸などを作っているniji hana otoさんに教わります。 好きな香りをブレンド・・・自分が求める香りってどんな香り？家族や友だちでそれぞれ作った香りを比べるのも楽しいですね♪ 温かいお茶を飲みながら、わいわい作りましょう。お子さん大歓迎（畳です）！,小さなおうちのルスバン喫茶＆整体,,,080-6354-9793（やえがしさやか） メッセージでも受け付けができます。,900,,suzu_pink,
9,2017/03/13,「のとノットアローン」大開発デー実行委員会,10:00:00,12:00:00,石川県健康の森,ラウンジ,のとノットアローンの運営に興味のある方,この日は、大開発デーに向けての「実行委員会」のミーティングとなりました。 「のとノットアローン大開発デー」は、年度明けてから行う予定です。 赤ちゃん連れで参加できる楽しい手遊びタイムや、子育て情報や情報発信に関する講義、のとノットアローンのファンがあつまる機会になるといいなと構想しており、そのための企画準備会議になります。 これから運営に関わりたい人はぜひご連絡ください。,のとノットアローン大開発デー実行委員会（一般社団法人コード・フォー・カナザワ）,,,nna@codeforkanazawa.org またはFacebookメッセージ　https://www.facebook.com/projectNNA/,無料,,,
10,2017/03/04,里山プレイパークをつくろう！,10:30:00,12:30:00,能登里山里海自然学校,（金沢大学 能登学舎）,どなたでも,はじめてみませんか？ 自分たちのための森の遊び場づくり！ 　 ♪おらっちゃの里山里海親子ワークショップ２０１６♪ 第９回　里山プレイパークをつくろう！ 　 NPO法人能登半島おらっちゃの里山里海は マツタケが出る松林を作ろう！なんて「夢」をもって １０年前より松林の保全を続けています。  これまでも、この整備された松林（里山）に お散歩に来てくださる方たちからは 「とっても気持ちがいいところ」と評判でした。 　　 これからは、子どもたちも、もっと来やすくなるような 楽しい森に変えていけたら！と考えています。 　 自分たちで、自分たちの居心地のよい森づくりをしたい方、 みんなの夢をもちよって、参加してみませんか？ 　 今回はいよいよ「おらっちゃの里山里海親子ワークショップ」の最終回です！ ぜひ「おらっちゃの里山」へ、遊びに来てみてくさいね！ 　　　 　 ♪案内人 北風 八紘 （当NPO法人会員） 坂井 理笑  （当NPO法人会員、金沢大学里山里海マイスター） ほか　  ♪日程：２０１７年３月４日（土）10:30~12:30（予定） ♪場所：能登里山里海自然学校（金沢大学 能登学舎） ♪時間　（予定です）　 １０時１５分　受付開始 １０時３０分　ガイダンス・国内のプレイパークの紹介 １１時００分　森へ移動・　プレイパークづくり １２時１０分　お楽しみ♪ １２時３０分　へんざいもんで昼食（希望者のみ） 　　 ♪参加費：親子ひと組　500円　（兄弟人数は問わず） 　 ＆ランチ代（任意）　おとな 700円　子ども 500円　 ♪定員：１０組程度 　 ♪持ち物：着替え、ノコギリ（あれば） 　 ♪対象　：未就学児～大人まで　どなたでも！大人だけの参加も♪  ♪ランチについて：金沢大学能登学舎の食堂「へんざいもん」で地元の食材を中心にした定食を注文できます。ランチは自由参加です。  ♪お申込み: メッセージにてお名前（参加者全員）、年齢（お子さんのみ）、ご連絡先電話番号、ランチの注文数をお知らせください。FBの「参加」ポチでは正式参加になりませんのでご了承をお願いいたします。定員になりしだい受付終了といたします。ランチのご注文は２３日（木）までとなります。 　 ♪主催・お問い合わせ　NPO法人能登半島おらっちゃの里山里海 　http://www.satoyama-satoumi.com/oraccha/ws/　  「おらっちゃの里山親子ワークショップ」はこども夢基金の助成を受けています。https://www.facebook.com/events/276138126151892/,NPO法人能登半島おらっちゃの里山里海,,,facebookメッセージまたはhttps://www.facebook.com/npo.oraccha/　お電話でhttp://www.satoyama-satoumi.com/oraccha/ws/　,１組500,,suzu_pink,
