no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆Ｅ・Ｆ・Ｇ ～ママとベビーの英会話～☆絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日１０：００～１０：４です。今月は１日と２２日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/06/01,10:00:00,10:45:00,
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆Ｅ・Ｆ・Ｇ ～ママとベビーの英会話～☆絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日１０：００～１０：４です。今月は１日と２２日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/06/22,10:00:00,10:45:00,
,保育所開放日,市内各保育所,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、1日・１５日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/01,09:00:00,11:00:00,suzu_pink
,保育所開放日,市内各保育所,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、1日・１５日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/15,09:00:00,11:00:00,suzu_pink
,みらい育てネットすず合同レクリエーション大会,珠洲健民体育館,鵜飼、上戸、飯田、若山、正院保育所年長児親子、保育所に入っていない在宅児と保護者,☆みらい子育てネットすず５クラブ合同レクリェーション大会☆日時：６月４日（土）９：００～１１：３０（受付８：３０～）○場所：健民体育館（現地集合）○対象：鵜飼、上戸、飯田、若山、正院保育所年長児親子、保育所に入っていない在宅児と保護者○ 内容：鵜飼、上戸、飯田、若山、正院保育所年長児親子が集まって体操やゲームをして楽しいひとときを過ごします。 在宅児と保護者のプログラムで「おみやげチョーダイ」もありますので、是非来て下さいね！参加希望の方は、子育て支援センターまでお電話下さい。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/04,09:00:00,11:30:00,
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/07,10:00:00,10:20:00,
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,妊娠中の方・乳幼児をお持ちのママ,子育てや親子関係などママたちがそれぞれ持っている不安や気がかりについて 率直に安心してうちあけられるようなおしゃべりタイムです。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/08,10:00:00,11:30:00,
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆参加ご希望の方は、前日までに珠洲市子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/06/10,10:00:00,11:30:00,
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/11,15:30:00,16:00:00,
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/25,15:30:00,16:00:00,
,ママぴよタイム,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆ママぴよタイム 作ってみよう・遊んでみよう☆今月はクラフトです。○内容：「つなげて遊ぼう」簡単に作れる布おもちゃ○持 ち 物：飲み物☆参加ご希望の方は、１０日（金）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/14,10:00:00,11:00:00,
,栄養保健相談,珠洲市役所市民ふれあいの里　健康増進センター,乳幼児とその保護者,身長・体重計測、保健師と栄養士が育児に関する相談に応じてくれます。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/15,10:00:00,11:00:00,
,絵本にふれよう,珠洲市立中央図書館,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/16,10:00:00,10:30:00,suzu_pink
,1歳6ヶ月検診,珠洲市役所市民ふれあいの里　健康増進センター,１歳６か月～１歳８か月頃のこどもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　身体計測、診察、歯科健診、フッ素塗布、ブラッシング指導、保健相談、栄養相談、発達相談,珠洲市子育て支援センター,0768-82-5479,0,2016/06/16,13:15:00,14:00:00,
