no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
,2017/01/04,保育所開放日,09:00:00,11:00:00,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,,,0768-82-5479,0,,suzu_pink,
,2017/01/18,保育所開放日,09:00:00,11:00:00,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,,,0768-82-5479,0,,suzu_pink,
,2017/01/06,ママのためのセラピーアラカルト,10:00:00,11:30:00,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆☆参加ご希望の方は、子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,,,0768-82-5479,0,,,
,2017/01/10,たんぽぽ読み聞かせ,10:00:00,10:20:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,,,0768-82-5479,0,,,
,2017/01/14,「児童館にあつまれ～!」,14:00:00,15:00:00,珠洲市子育て支援センター・児童館,,小学生・幼児とその保護者　10名,☆児童館にあつまれ～☆　対象：小学生・年長中児とその保護者　　先着　１０名 内容：貯金箱作り　参加費：無料☆参加ご希望の方は、児童館に お申し込み ください。定員になりしだいしめきりです。,珠洲市子育て支援センター,,,0768-82-5479,0,,,
,2017/01/21,「児童館にあつまれ～!」,14:00:00,15:00:00,珠洲市子育て支援センター・児童館,,小学生・幼児とその保護者　9名, ☆児童館にあつまれ～！「ちびっこクッキング」☆　内 　容：かんたん肉まんつくり 　対 　象：小学生・年長中児とその保護者　９名　持ち物：飲み物やタオル・エプロン・三角布（スカーフ可） 取り皿・フォークも持ってきてね！ ☆参加ご希望の方は、４日（水）～１７日（火）までに児童館に お申し込み ください。定員になりしだいしめきりです。,珠洲市子育て支援センター,,,0768-82-5479,100,,,
,2017/01/11,ほっとミーティング,10:00:00,11:30:00,珠洲市役所市民ふれあいの里　健康増進センター,,妊娠中の方・乳幼児をお持ちのママ,◎ほっとミーティングは、別室にてママたちだけの場となります。◎お子様については和室にて託児いたします。（お子様用の水分や替え用のオムツ等お持ちください。）◎当日は、できるだけ午前１０時までにおいでください。＊ご利用の際は、必ず９日（金）までに予約をお願いします。＜予約・問い合わせ＞珠洲市健康増進センター（福祉課　健康推進係）　電話　８２－７７４２,珠洲市役所市民ふれあいの里　健康増進センター（福祉課　健康推進係）,,,0768-82-7742,0,,,
,2017/01/16,国際交流,10:00:00,10:30:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,持ち物：飲み物、汗拭き用タオル ☆ネイティブの国際交流員による外国の文化紹介や歌、絵本の読み聞かせなどがあります。 ☆直接遊びに来てね！,珠洲市子育て支援センター,,,0768-82-5479,0,,,
,2017/01/17,ママぴよタイム～ニンジンケーキ～,10:00:00,11:00:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者　１２組,☆ママぴよタイム☆＝にんじんケーキ＝　　内 　容：にんじんのパウンドケーキつくり　参加費：親子で５０円　持ち物：飲み物・取り皿・フォーク又はスプーン　☆参加ご希望の方は１１日（水）までに、子育て支援センターにお申し込みください。,珠洲市子育て支援センター,,,0768-82-5479,50,,,
,2017/01/18,子育て相談,10:00:00,11:00:00,珠洲市役所市民ふれあいの里　健康増進センター,,,,珠洲市子育て支援センター,,,0768-82-5479,0,,,
