no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1
,ふしぎ!くるくる変身!「カラクリこいのぼりを作ろう!」,輪島市子育て支援センター・児童センター,小学生20名（要申込）,くるくる変身するカラクリこいのぼりを作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/04/30,10:00:00,12:00:00,
,ドッチビー大会,輪島市もんぜん児童館,どなたでも,平成28年度１回目！ドッヂビー大会！汗を流して戦おう！,輪島市もんぜん児童館,0768-22-8031,0,2016/04/20,16:00:00,17:00:00,
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学1～3年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/04/21,15:30:00,16:15:00,
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学4～6年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/04/21,16:15:00,17:00:00,
,将棋教室,輪島市子育て支援センター・児童センター,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,10:00:00,12:00:00,
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,10:00:00,12:00:00,
,あそびのウォークラリー,輪島市子育て支援センター・児童センター,幼児～小学生,あそびのウォークラリーを楽しもう！いろんなゲームにチャレンジしてみんなで遊びましょう！※５、６年生の子どもスタッフ大募集！子どもスタッフは、当日午後１時に集合です。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,13:30:00,15:30:00,
,わじまキッズランド,輪島市子育て支援センター・児童センター,キッズランド加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/08,10:00:00,12:00:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/11,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内1人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/18,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/25,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/01,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/08,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/15,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/22,09:30:00,11:30:00,
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/29,09:30:00,11:30:00,
,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦・乳幼児親子,子育て中のママも、プレママも、先輩ママもお茶を飲んでおしゃべりしたり、リサイクルバザーをします。お気軽にどうぞ♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/12,10:30:00,11:30:00,
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,10:00:00,12:00:00,
,ドッヂビー大会,輪島市子育て支援センター・児童センター,小学生20名,ニュースポーツ「ドッヂビー」にチャレンジ！みんなでドッヂビーの達人になろう！※参加したい人は申込みして下さい。　協力：もんぜんスポーツクラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/15,10:00:00,12:00:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,ボールプールで遊ぼう！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/17,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,手作りおもちゃで遊ぼう！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/24,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,笑顔広がる手遊び・うたあそび！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/31,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,親子ふれあいあそび！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/19,10:30:00,11:30:00,
