no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
,2016/04/30,ふしぎ!くるくる変身!「カラクリこいのぼりを作ろう!」,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20名（要申込）,くるくる変身するカラクリこいのぼりを作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,evt58ef91cb173
,2016/04/20,ドッチビー大会,16:00:00,17:00:00,輪島市もんぜん児童館,,どなたでも,平成28年度１回目！ドッヂビー大会！汗を流して戦おう！,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/04/21,ジュニアスポーツ教室サッカー教室,15:30:00,16:15:00,輪島市もんぜん児童館,,小学1～3年,サッカー教室です,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/04/21,ジュニアスポーツ教室サッカー教室,16:15:00,17:00:00,輪島市もんぜん児童館,,小学4～6年,サッカー教室です,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/05/07,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/07,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/07,あそびのウォークラリー,13:30:00,15:30:00,輪島市子育て支援センター・児童センター,,幼児～小学生,あそびのウォークラリーを楽しもう！いろんなゲームにチャレンジしてみんなで遊びましょう！※５、６年生の子どもスタッフ大募集！子どもスタッフは、当日午後１時に集合です。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/08,わじまキッズランド,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,キッズランド加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/11,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/18,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内1人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/25,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/01,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/08,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/15,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/22,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/29,暑中見舞いボランティア,09:30:00,11:30:00,輪島市子育て支援センター・児童センター,,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/12,ほっとサロンみらい,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,妊婦・乳幼児親子,子育て中のママも、プレママも、先輩ママもお茶を飲んでおしゃべりしたり、リサイクルバザーをします。お気軽にどうぞ♪,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/07,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/15,ドッヂビー大会,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20名,ニュースポーツ「ドッヂビー」にチャレンジ！みんなでドッヂビーの達人になろう！※参加したい人は申込みして下さい。　協力：もんぜんスポーツクラブ,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/17,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,ボールプールで遊ぼう！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/24,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,手作りおもちゃで遊ぼう！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/31,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,笑顔広がる手遊び・うたあそび！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/19,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,親子ふれあいあそび！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/26,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,4、5月うまれおたんじょう会！子育て仲間のみんなと一緒に楽しみませんか?　協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/21,手話であ・そ・ぼ,14:00:00,16:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/22,科学であ・そ・ぼ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20名,スライムを作ろう！,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/05/29,おいしいマフィンを作ろう！,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20名,かわいいアメリカンなカップケーキを焼きましょう♪※要申込　持ち物：エプロン、三角巾、ふきタオル,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/11,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/11,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/12,「いい歯いい食健康フェア」,09:30:00,12:30:00,ふれあい健康センター,,どなたでも,健康フェアにぜひご参加ください。,輪島市健康推進課,,,0768-23-1136,0,,,
,2016/06/16,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「虫歯予防の歯みがきについて」講師：歯科医師　南　景子さん,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/23,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「お話し会」3～5歳　10：30～　　0～2歳　11時～　講師：中橋　範子さん,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/30,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「6月うまれたんじょう会」「親子体操」講師：田辺　明美さん　協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/21,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「ベビーマッサージ」　要予約　持ち物：タオル・バスタオル　材料費：300円,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/28,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「キラキラ笹飾りを作ろう」,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/18,手話であ・そ・ぼ,14:00:00,16:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/19,暑中見舞いボランティア,10:00:00,15:00:00,ふれあい健康センター２階ボランティアルーム,,小学生～大人,市内75歳以上の一人暮らしの方へ送る暑中見舞いハガキを作ります！出入りは自由ですのでぜひご参加ください。,輪島市子育て支援センター・児童センター、輪島市ボランティアセンター,,,0768-22-8031,0,,,
,2016/06/26,わじまキッズランド,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/26,クラフト工房で働こう～おしごと体験企画・第１回～,13:30:00,15:30:00,輪島市子育て支援センター・児童センター,,小学生20人　要予約,今回のクラフト工房は「カラフルタイル」を使って、キッズ朝市で販売するかわいい小物を作ります。お給料はわん（模擬通貨）で通帳に入金されます。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/11,暑中見舞いボランティア,10:00:00,11:30:00,輪島市もんぜん児童館,,小学生～大人,市内75歳以上の一人暮らしの方に贈る、暑中見舞いのハガキを作ります。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/06/29,ドッジビー大会,16:00:00,17:00:00,輪島市もんぜん児童館,,小学生,放課後ドッジビーで燃えよう！,もんぜん児童館,,,0768-42-3166,0,,,
,2016/06/16,ジュニアスポーツ教室サッカー教室,15:30:00,16:15:00,輪島市もんぜん児童館,,小学1～3年,サッカー教室です,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/06/16,ジュニアスポーツ教室サッカー教室,16:15:00,17:00:00,輪島市もんぜん児童館,,小学4～6年,サッカー教室です,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/06/03,親子体操,10:30:00,11:00:00,輪島市もんぜん児童館,,どなたでも,一緒に親子体操をしましょう♪,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/08/06,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/08/07,おしごとたいけん企画・第２回「木工所で働こう」,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20人　要申し込み,電動のこぎりなどを使って木工製品を作ります。作った木工製品は、10月の「おしごとたいけん」に出荷するので持ち帰りはできません。中学生・高校生のボランティアスタッフも募集中です。詳しくは児童センターにお問い合わせください。,輪島市子育て支援センター・児童センター、ダディーズ,,,0768-22-8031,0,,,
,2016/08/12,サマーハッピータイム「ヨシダ人形劇がやってくる!」,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,幼児～小学生※幼児は必ず保護者同伴,今年は豪華３本立て!とっても楽しいプロの人形劇をぜひ見に来てください。作品名「ぽんぽこぽん!」「ぼくのいろ」「おかしないえ」,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/08/19,おしごとたいけん企画・第３回「クラフト工房で働こう」,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20人　要予約,キッズ朝市で人気商品のプラバンを作ろう!みんなが買いたくなる商品を目指しましょう。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/08/20,手話であ・そ・ぼ,14:00:00,16:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/08/21,朝市で買い物して料理を作ろう,09:00:00,13:00:00,輪島市子育て支援センター・児童センター,,小学生15人　要申込,輪島の朝市で買い物しておいしい料理を作って食べましょう。持ち物　エプロン・三角巾・手ふきタオル,輪島市子育て支援センター・児童センター、太陽の子クラブ,,,0768-22-8031,200,,,
,2016/08/26,ダンスカンパニーとダンス・ダンス・ダンス～航空学園のお兄さん、お姉さんとおどろう～　午前の部,10:00:00,11:30:00,輪島市子育て支援センター・児童センター,,小学生　要申込,日本航空高等学校ダンス部のお兄さん、お姉さんと一緒に楽しくダンス・ダンス・ダンス!!いい汗かいてすてきな時間を過ごしましょう!,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/08/26,ダンスカンパニーとダンス・ダンス・ダンス～航空学園のお兄さん、お姉さんとおどろう～　午後の部,13:30:00,15:00:00,輪島市子育て支援センター・児童センター,,小学生　要申込,日本航空高等学校ダンス部のお兄さん、お姉さんと一緒に楽しくダンス・ダンス・ダンス!!いい汗かいてすてきな時間を過ごしましょう!　講師：田辺明美さん,輪島市子育て支援センター・児童センター日本航空高等学校石川,,,0768-22-8031,0,,,
,2016/08/27,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
