no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1
1,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/04/20,10:00:00,11:30:00,
2,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/05/18,10:00:00,11:30:00,
3,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/06/15,10:00:00,11:30:00,
4,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/07/20,10:00:00,11:30:00,
5,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/08/24,10:00:00,11:30:00,
6,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/09/21,10:00:00,11:30:00,
7,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/10/19,10:00:00,11:30:00,
8,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/11/16,10:00:00,11:30:00,
9,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/12/21,10:00:00,11:30:00,
10,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/01/18,10:00:00,11:30:00,
11,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/02/15,10:00:00,11:30:00,
12,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/03/15,10:00:00,11:30:00,
13,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/04/05,10:00:00,11:00:00,
14,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/05/10,10:00:00,11:00:00,
15,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/06/07,10:00:00,11:00:00,
16,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/07/05,10:00:00,11:00:00,
17,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/08/02,10:00:00,11:00:00,
18,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/09/06,10:00:00,11:00:00,
19,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/10/04,10:00:00,11:00:00,
20,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/11/01,10:00:00,11:00:00,
21,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/12/06,10:00:00,11:00:00,
22,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/01/10,10:00:00,11:00:00,
23,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/02/07,10:00:00,11:00:00,
24,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/03/07,10:00:00,11:00:00,
25,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/04/15,10:00:00,11:00:00,
26,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/05/20,10:00:00,11:00:00,
27,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/06/17,10:00:00,11:00:00,
28,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/07/15,10:00:00,11:00:00,
29,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/08/19,10:00:00,11:00:00,
30,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/09/16,10:00:00,11:00:00,
31,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/10/21,10:00:00,11:00:00,
32,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/11/18,10:00:00,11:00:00,
