no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,URL
25,,1,図書館,珠洲市立中央図書館,石川県珠洲市飯田町９,37.441091,137.263464,0768-82-0399,,新設が予定されています。,,,※調査中火〜金 ９：００−１８：００土日9:00~１７：００※調査中,※調査中　月曜・祝日,有,city.suzu.ishikawa.jp
7,,1,公民館,南志見公民館,石川県輪島市里町32-36,37.430279,137.034114,0768-34-1001,0768-34-1230,,,,,,,
8,,1,公民館,町野公民館,石川県輪島市町野町粟蔵川原田22-1,37.423336,137.088106,0768-32-0316,0768-32-1231,,,,,,,
4,,1,公民館,鵠巣公民館,石川県輪島市深見町65-33-1,37.410582,136.969667,0768-22-2237,0768-22-2237,,,,,,,
9,,1,公民館,港公民館,石川県輪島市輪島崎町1-211-4,37.403272,136.899898,0768-22-1391,0768-22-1391,,,,,,,
10,,1,公民館,鳳至公民館,石川県輪島市鳳至町石浦町83-1,37.3985,136.896993,0768-22-7620,0768-22-7640,,,,,,,
22,,1,児童館,輪島市子育て支援センター・児童センター,石川県輪島市河井町2-287-1輪島市ふれあい健康センター2F,37.394134,136.901226,(0768)-22-8031,,,,,,,,
19,,1,児童館,輪島市子育て支援センター・児童センター,輪島市河井町2-287-1,37.394134,136.901226,(0768)-22-8031,,輪島市ふれあい健康センター2階,,,火〜金 ８：３０〜１７：００、土・日 ８：３０〜１６：００,月曜日・祝日、１２月２９日〜１月３日,,
24,,1,図書館,輪島市立図書館,輪島市河井町２０−１−１ 輪島市文化会館,37.38868606322244,136.90601012518027,(0768)-22-2926,,,,,,,,
1,,1,公民館,輪島公民館,石川県輪島市河井町20-1-1（文化会館2階）,37.38839516647212,136.90590149570085,0768-22-2226,0768-23-8239,,,,,,,
2,,1,公民館,大屋公民館,石川県輪島市小伊勢町丸垣内0768-22-1,37.381204,136.885942,0768-22-2236,0768-22-2236,,,,,,,
5,,1,公民館,西保公民館,石川県輪島市大沢町ホサソ201-3,37.375189,136.803046,0768-36-2001,0768-36-2034,,,,,,,
3,,1,公民館,河原田公民館,石川県輪島市西脇町60-1,37.357283,136.908341,0768-22-2235,0768-22-2235,,,,,,,
18,,1,公民館,七浦公民館,石川県輪島市門前町鵜山12-50,37.345382,136.752941,0768-46-2375,0768-46-2375,,,,,,,
6,,1,公民館,三井公民館,石川県輪島市三井町長沢2-12-1,37.315432,136.902699,0768-26-1211,0768-26-1247,,,,,,,
17,,1,公民館,浦上公民館,石川県輪島市門前町浦上8-58,37.305719,136.797698,0768-42-0558,0768-42-0558,,,,,,,
20,,1,児童館,輪島市もんぜん児童館,輪島市門前町鬼屋４の２０番地,37.2887030715745,136.765634855155,0768−42−3166,,,,,火〜金 ９：００〜１８：００、土・日 ９：００〜１７：００,,,
21,,1,児童館,もんぜん児童館,石川県輪島市門前町鬼屋４?２０,37.288661,136.765627,(0768)-42-3166,,,,,,,,
23,,1,図書館,輪島市立門前図書館,石川県輪島市門前町走出２?２,37.288614,136.769343,(0768)-42-0129,,,,,,,,
14,,1,公民館,諸岡公民館,石川県輪島市門前町道下7-175,37.288391,136.745284,0768-43-1061,0768-43-1061,,,,,,,
15,,1,公民館,門前公民館,石川県輪島市門前町走出6-92-2,37.287803,136.767804,0768-42-0916,0768-42-1906,,,,,,,
16,,1,公民館,本郷公民館,石川県輪島市門前町二又川4-4-1,37.284803,136.826977,0768-42-0636,0768-42-0636,,,,,,,
13,,1,公民館,黒島公民館,石川県輪島市門前町黒島町高池45,37.278903,136.735765,0768-43-1062,0768-43-1062,,,,,,,
12,,1,公民館,阿岸公民館,石川県輪島市門前町南ナ17,37.2539507398,136.7328343126,0768-43-1063,0768-43-1063,,,,,,,
11,,1,公民館,剱地公民館,石川県輪島市門前町剱地ツ60,37.231822,136.708634,0768-45-1833,0768-45-1833,,,,,,,
26,,1,児童館,穴水町児童館・図書館,石川県鳳珠郡穴水町字大町ト3番地3,37.228522,136.905662, 0768-52-1800 ,FAX 0768-52-3393,穴水町さわやか交流館プルート内,,,午前9時〜午後9時まで,月曜日（祝日の場合は、その翌日）、年末年始,あり,
