no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,URL
,,2,公園,弁天近隣公園,石川県珠洲市蛸島町ナ−１２３,37.441686270431944,137.30859875679016,,,遊具(小型複合遊具)改修予定,旧蛸島駅向い 都市公園,,,,,
,,2,公園,正院街区公園,石川県珠洲市正院町川尻,37.44563018608521,137.29517430067062,,,遊具(ブランコ、滑り台)改修予定,正院小学校グラウンド横 都市公園,,,,,
,,2,公園,城山街区公園,珠洲市若山町出田地内,37.440140164703784,137.2630226612091,,,遊具(小型遊具)改修予定なし,飯田保育所横 都市公園,,,,,
,,2,公園,鉢ケ崎総合公園,珠洲市蛸島町地内,37.440772,137.329079,,,遊具：無,駐車場～海まで 都市公園,,,,,
,,2,公園,柳田街区公園,珠洲市上戸町南方地内,37.419986758189616,137.24821418523788,,,遊具(小型遊具)改修予定,柳田神社前 都市公園,,,,,
,,2,公園,野々江総合公園,珠洲市野々江町地内,37.44581758079131,137.2706937789917,,,遊具(複合遊具、平均台、小型遊具)改修済, 都市公園,,,,,
,,2,公園,吾妻街区公園,珠洲市飯田町地内,37.43918394834147,137.26731553673744,,,遊具(小型遊具、ブランコ)改修済,吾妻町若山川左岸 都市公園,,,,,
,,2,公園,さかえ街区公園,珠洲市飯田町地内,37.439794096718465,137.26613402366638,,,遊具：無,昭和橋右岸 都市公園,,,,,
,,2,公園,見付公園,珠洲市宝立町鵜島地内,37.397096202696275,137.24287390708923,,,遊具(大型遊具、ブランコ)改修予定なし, その他の公園,,,,,
,,2,公園,立町白鳥公園,珠洲市正院町正院地内,37.445825863548755,137.28848524785042,,,遊具(ブランコ、滑り台)改修予定なし,旧正院駅跡 その他の公園,,,,,
,,2,公園,大町公園,珠洲市大谷町地内,37.498930367825906,137.17317268252373,,,遊具(ブランコ)改修予定なし,大谷保育所奥 その他の公園,,,,,
,,2,公園,ゆとりーとぱーく,珠洲市野々江町地内,37.4449955959807,137.26974964141846,,,遊具：無,野々江総合公園下 その他の公園,,,,,
,,2,公園,野々江芝広場,珠洲市野々江町地内,37.44100905449935,137.2688376903534,,,遊具：無,すずなり横 その他の公園,,,,,
,,2,公園,上戸多目的広場,珠洲市上戸町北方地内,,,,,遊具：無,上戸跨線橋下 その他の公園,,,,,
