no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,zasiki,parking,URL
,,3,飲食店,イタリアンカフェこだま,日本  〒927-1213 石川県珠洲市野々江町サ−１０４−１,37.44447512952088,137.27264361474988,0768-82-0525,,絵本もたくさんあって子連れの多いレストランです。,プレパスのサービスはなんとピザ（バンビーノ）一枚！,,11:00〜22:00,水曜日,不明,なし,あり,https://www.facebook.com/イタリアンカフェこだま-901774086533601/
,,3,飲食店,九十九,穴水町字川島サ46,37.230009,136.9108192,0768-52-2408,,お好み焼きと書いてあるけど丼、麺類など色々なメニュー。,奥にフローリングの広い座敷があるので子連れも行きやすいです。ベビーカーも大丈夫。トイレは和式です。,,10:30-22:00,,,,,
,,3,飲食店,どんどん穴水店,穴水町字大町ロ-5,37.2256094,136.9085224,0768-52-2905,,,,,11:00-20:00,,,,,
,,3,飲食店,もりそば,日本  〒927-0027 石川県鳳珠郡穴水町川島ヨ−７−３,37.23243611987446,136.90557474292223,0768-52-0025,,,,,10:00-21:00,,,,,
,,3,飲食店,華店,穴水町字大町い-8-2,37.2252456,136.908841899999,0768-52-2989,,,,,11:00-22:00,,,,,
,,3,飲食店,飛天龍,穴水町字此木16-46-1,37.2595885,136.901830099999,0768-52-0377,,,,,11:00-14:00、16:00-21:30,,,,,
,,3,飲食店,香林,穴水町字川島ヨ-68-1,37.2331029,136.907327799999,0768-52-1777,,,座敷あり。喫煙なので煙がちょっと気になる人もいるかもですが、小さい椅子があったりお皿をだしてくださったりお店の方が子どもに優しいです。ベビーカーは畳んで入る感じです。,,11:00-15:00、17:00-21:00,,,,,
,,3,飲食店,酔八仙,穴水町字川島ソ-1-5,37.2312087,136.907388999999,0768-52-2524,,,,,11:30-14:00、18:00-22:30,,,,,
,,3,飲食店,龍苑,穴水町字此木4-11-1,37.2446346,136.898236699999,0768-52-1021,,,,,11:00-15:00、17:30-21:00,,,,,
,,3,飲食店,フリースタイル,穴水町字大町は２４,37.2288395,136.904395,0768-52-2004,,,,,9:00-21:00,,,,,
,,3,飲食店,来夢来人,穴水町字此木27-6-3,37.2440569,136.898497799999,0768-52-0735,,,,,8:00-20:00,,,,,
,,3,飲食店,Vio Bell,穴水町字旭ヶ丘リ1-3,37.2333862,136.997961499999,0768-58-8001,,,,,10:00-20:00,,,,,
,,3,飲食店,滝川食堂,穴水町字大町二-24,37.2293812,136.907408499999,0768-52-0070,,,,,7:00-19:00,,,,,
,,3,飲食店,ディンプル,穴水町字川島サ-69-2,37.2298617,136.9096416,0768-52-3371,,,,,8:00-13:00、15:00-21:00,,,,,
,,3,飲食店,安兵衛,穴水町字大町に-7,37.2299782,136.9040366,0768-52-2241,,,,,11:30-14:00、17:00-22:00,,,,,
,,3,飲食店,おかざき,穴水町字大町ほ-21,37.2309975,136.9035089,0768-52-0663,,,,,9:00-21:00,,,,,
,,3,飲食店,ココス,穴水町字此木１字４５−５,37.2439624999999,136.8986256,0768-52-3755,,,,,10:00-23:00,,,,,
,,3,飲食店,８番らーめん,日本  〒927-0053 石川県鳳珠郡穴水町此木１０−２５,37.244130514142256,136.89953309140174,0768-52-3988,,,,,11:00-22:00,,,,,
,,,飲食店,萬正食堂,輪島市新橋通り8-2-32,37.39427,136.898342,0768-22-0433,,お子様のメニューなど、相談ができます。広めの個室があるので小さい子がいても安心して入れるお店。電話で確認してみてください。,駐車場、個室、お座敷、テーブル席、カウンター席,,11:30~14:00(Lo13:30)、17:00~20:00(Lo19:30),木,無,,,
,,,飲食店,やぶ新橋,石川県輪島市河井町 やぶ新橋店,37.393694154331904,136.90121999695896,Tel0768-22-0006,Fax0768-22-9416,お子様メニューあり。お蕎麦やうどん、丼物など、子連れに嬉しいメニューが豊富です。,駐車場、エレベーター、個室、お座敷、テーブル席,,11:00~21:00（Lo20:30）観光センターで不定休日の確認ができます。,火,無,,,http://yabu-shinbashi.jp/
,,,飲食店,babybread(ベイビーブレッド),石川県輪島市河井町２−２８６−５,37.393937820618056,136.90077738511127,0768-23-1811,,無添加のパン屋さん。卵、乳製品を使わないパンもあります。イートイン可。,トイレ、カウンター席,,08:00~19:00,日、月,無,,,https://www.facebook.com/babybread-1416724425243530/?fref=ts
,,,飲食店,カフェ一互一笑(いちごいちえ),輪島市宅田町25-4-10,37.38478118,136.8987884,0768-22-4141,,ランチ700円〜ととてもリーズナブル.健常者と障碍者が協力して運営されていて、テーブルや器など、いたるところに輪島塗が使われている暖か味のあるお店.,駐車場、テーブル席(畳敷き),,10:30~15:30（Lo15:00）,日、月,無,,,
,,,飲食店,喫茶　翁(おきな),輪島市河井町17-2-16,37.3901627,136.9069367,0768-22-0300,,子供に人気のメニューが沢山.ベビーカーで入っても快く迎えてくれます.,駐車場、テーブル席、カウンター席,,06:00~19:00(Lo18:30),第１、３(日)午後,無,,,https://www.facebook.com/喫茶-翁-227274180700941/timeline
,,,飲食店,310(さと),輪島市河井町20部1番地60,37.3882046,136.9080506,0768-23-4435,,売り切れ次第終了してしまう人気のパン屋さん.イートイン可,駐車場、トイレ、お座敷,,07:40~18:00,日,無,,,https://www.facebook.com/310ぱん-114560498877230/?fref=ts
,,,飲食店,手打ちうどん　まる陣,輪島市マリンタウン4-2,37.3957311636684,136.90922359755325,0768-23-4451,,季節限定の能登の食材を使ったメニューもあります。,駐車場、トイレ、お座敷、テーブル,,11:00~14:30、17:30~20:00(Lo19:30),毎週水曜、第四火曜,無,,,
,,,飲食店,めん処　あさひ支店,輪島市河井町4-54,37.395043,136.905067,0768-22-0774,,,駐車場、トイレ、お座敷、テーブル,,11:00~19:00,3日、13日、23日、他１日不定,無,,,
