no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,URL
,,3,飲食店,イタリアンカフェこだま,日本  〒927-1213 石川県珠洲市野々江町サ−１０４−１ ａｕショップ珠洲,37.44447512952088,137.27264361474988,0768-82-0525,,絵本もたくさんあって子連れの多いレストランです。,プレパスのサービスはなんとピザ（バンビーノ）一枚！,,11:00～22:00,水曜日,不明,https://www.facebook.com/イタリアンカフェこだま-901774086533601/
,,3,飲食店,九十九,穴水町字川島サ46,37.230009,136.9108192,0768-52-2408,,10:30-22:00,,,,,,
,,3,飲食店,どんどん穴水店,穴水町字大町ロ-5,37.2256094,136.9085224,0768-52-2905,,11:00-20:00,,,,,,
,,3,飲食店,もりそば,日本  〒927-0027 石川県鳳珠郡穴水町川島ヨ−７−３,37.23243611987446,136.90557474292223,0768-52-0025,,10:00-21:00,,,,,,
,,3,飲食店,華店,穴水町字大町い-8-2,37.2252456,136.908841899999,0768-52-2989,,11:00-22:00,,,,,,
,,3,飲食店,飛天龍,穴水町字此木16-46-1,37.2595885,136.901830099999,0768-52-0377,,11:00-14:00、16:00-21:30,,,,,,
,,3,飲食店,香林,穴水町字川島ヨ-68-1,37.2331029,136.907327799999,0768-52-1777,,11:00-15:00、17:00-21:00,,,,,,
,,3,飲食店,酔八仙,穴水町字川島ソ-1-5,37.2312087,136.907388999999,0768-52-2524,,11:30-14:00、18:00-22:30,,,,,,
,,3,飲食店,龍苑,穴水町字此木4-11-1,37.2446346,136.898236699999,0768-52-1021,,11:00-15:00、17:30-21:00,,,,,,
,,3,飲食店,フリースタイル,穴水町字大町は２４,37.2288395,136.904395,0768-52-2004,,9:00-21:00,,,,,,
,,3,飲食店,来夢来人,穴水町字此木27-6-3,37.2440569,136.898497799999,0768-52-0735,,8:00-20:00,,,,,,
,,3,飲食店,Vio Bell,穴水町字旭ヶ丘リ1-3,37.2333862,136.997961499999,0768-58-8001,,10:00-20:00,,,,,,
,,3,飲食店,滝川食堂,穴水町字大町二-24,37.2293812,136.907408499999,0768-52-0070,,7:00-19:00,,,,,,
,,3,飲食店,ディンプル,穴水町字川島サ-69-2,37.2298617,136.9096416,0768-52-3371,,8:00-13:00、15:00-21:00,,,,,,
,,3,飲食店,安兵衛,穴水町字大町に-7,37.2299782,136.9040366,0768-52-2241,,11:30-14:00、17:00-22:00,,,,,,
,,3,飲食店,おかざき,穴水町字大町ほ-21,37.2309975,136.9035089,0768-52-0663,,9:00-21:00,,,,,,
,,3,飲食店,ココス,穴水町字此木１字４５－５,37.2439624999999,136.8986256,0768-52-3755,,10:00-23:00,,,,,,
,,3,飲食店,８番らーめん,日本  〒927-0053 石川県鳳珠郡穴水町此木１０−２５,37.244130514142256,136.89953309140174,0768-52-3988,,11:00-22:00,,,,,,
