no,display,category,name,address,phone1,phone2,memo1,memo2,lat,lng
,1,石川県保健福祉センター・金沢市保健センター,南加賀保健福祉センター,小松市園町ヌ48,(0761)22-0796,,小松市、加賀市、能美市、能美郡,,36.4109746,136.4649167
,1,石川県保健福祉センター・金沢市保健センター,石川中央保健福祉センター,白山市馬場2-7,(076)275-2250,,かほく市、白山市、野々市市、河北郡,,36.5192791,136.5639637
,1,石川県保健福祉センター・金沢市保健センター,能登中部保健福祉センター,七尾市本府中町ソ27-9,(0767)53-2482,,七尾市、羽咋市、羽咋郡、鹿島郡,,37.040147,136.9711424
,1,石川県保健福祉センター・金沢市保健センター,能登北部保健福祉センター,輪島市鳳至町畠田102-4,(0768)22-2011,,輪島市、珠洲市、鳳珠郡,,37.392076,136.896543
,1,石川県保健福祉センター・金沢市保健センター,金沢市泉野福祉健康センター,金沢市泉野町6-15-5,(076)242-1131,,金沢市泉野管内,,36.5435468,136.6494839
,1,石川県保健福祉センター・金沢市保健センター,金沢市元町福祉健康センター,金沢市元町1-12-12,(076)251-0200,,金沢市元町管内,,36.5816533,136.666962
,1,石川県保健福祉センター・金沢市保健センター,金沢市駅西福祉健康センター,金沢市西念3-4-25,(076)234-5103,,金沢市駅西管内,,36.5898934,136.6353805
,1,利用者支援事業,金沢市こども福祉課(保育利用支援員),,(076)220-2538,,月～金（10:00～17:00）,,36.5613254,136.6562051
,1,利用者支援事業,金沢市教育プラザ冨樫（子育て支援チーフコーディネーター）,,(076)243-5910,,月～金（9:00～17:00）,,36.5379786,136.6419696
,1,利用者支援事業,城北児童会館（子育て支援チーフコーディネーター）,,(076)252-6731,,月～金（10:00～17:00）,,36.589586,136.6719282
,1,利用者支援事業,小松市小松市こども家庭課,,(0761)24-8175,,月～金（8:30～17:15）,,36.40271,136.452831
,1,利用者支援事業,かほく市宇ノ気生涯学習センター,,(076)283-4320,,月～金（8:30～17:15）,,36.7203671,136.7066317
,1,利用者支援事業,能美市子育て支援センター,,(0761)58-8200,,月～土（9:00～17:00）,,36.4516963,136.5062871
,1,家庭児童相談室,七尾市福祉事務所（子育て支援課）内,七尾市神明町1,(0767)53-8445,,,,37.0434074,136.9645624
,1,家庭児童相談室,小松市社会福祉事務所（こども家庭課）内,小松市小馬出町91,(0761)24-8057,,,,36.4084032,136.445556
,1,家庭児童相談室,輪島市福祉事務所（福祉課）内,輪島市二ツ屋町2-29,(0768)23-1161,,,,37.3905568,136.8991846
,1,家庭児童相談室,珠洲市福祉事務所（福祉課）内,珠洲市上戸町北方1-6-2,(0768)82-7799,,,,37.4363695,137.2604059
,1,家庭児童相談室,加賀市福祉事務所（こども課）内,加賀市大聖寺南町ニ41,(0761)72-2565,,,,36.3032881,136.315052
,1,家庭児童相談室,羽咋市福祉事務所（健康福祉課）内,羽咋市旭町ア200,(0767)22-1114,,,,36.8935987,136.7790323
,1,家庭児童相談室,かほく市福祉事務所（健康福祉課）内,かほく市宇野気ニ71-2,(076)283-7121,,,,36.7194123,136.706299
,1,家庭児童相談室,白山市福祉ふれあいセンター内,白山市倉光八丁目16-1,(076)276-1792,,,,36.5149167,136.572952
,1,家庭児童相談室,能美市福祉事務所（子育て支援センター）内,能美市寺井町た8-1,(0761)58-8200,,,,36.4362174,136.4949584
,1,家庭児童相談室,野々市市福祉事務所（子育てあんしん課）内,野々市市三納1-1,(076)227-6077,,,,36.5194656,136.609685
,1,児童家庭支援センター,こども家庭支援センター金沢（享誠塾敷地内）,金沢市平和町3-23-5,(076)243-8341,,月～金（9:00～17:30）,心理専門職員（臨床心理士など）による心理相談も受け付けています。（要予約）,36.5387698,136.6627276
,1,児童家庭支援センター,ファミリーステーションいなみえん（伊奈美園敷地内）,加賀市片山津温泉井6,(0761)75-8889,,（9:00～17:00）緊急の場合は上記以外の時間でも可,来園が困難な家庭には訪問相談も行います。必要があれば心理担当職員が対応します。,36.3417761,136.3677845
,1,児童家庭支援センター,あすなろ子育て広場（あすなろ学園敷地内）,鳳珠郡穴水町志ヶ浦15-1-3,(0768)52-4141,,月～金（9:00～17:00）緊急を要する相談は土日及び夜間も対応,心理専門職員（臨床心理士など）による心理相談も受け付けています。（要予約）,37.2021536,136.8982162
,1,児童相談所,こども総合相談センター（金沢市児童相談所）,金沢市富樫3-10-1金沢市教育プラザ富樫,(076)243-4158,虐待通報：（076）243-8348,,,36.5381112,136.6422292
,1,児童相談所,石川県中央児童相談所,金沢市本多町3-1-10,(076)223-9553,,,,36.5594979,136.6602299
,1,児童相談所,石川県南加賀保健福祉センター地域支援課,小松市園町ヌ48,(0761)22-0792,,,相談時間以外は石川県中央児童相談所,36.4109746,136.4649167
,1,児童相談所,石川県七尾児童相談所,七尾市古府町そ8-1,(0767)53-0811,,,,37.029506,136.965759
,1,児童相談所,石川県能登北部保健福祉センター地域支援課,輪島市鳳至町畠田102-4,(0768)22-4149,,,相談時間以外は石川県七尾児童相談所,37.392076,136.896543
,1,発達障害,発達障害支援センター（石川県こころの健康センター内）,金沢市鞍月東2-6,(076)238ー5557,,,,36.5954426,136.6317139
,1,発達障害,発達障害者支援センターパース,金沢市福久東1-56　オフィスオーセド2F,(076)257ー5551,,,,36.6180397,136.6854575
,1,電話相談,泉野子育てホットライン,金沢市泉野町6-15-5,(076)244-4500,,月～金（8:30～17:00）,妊娠・出産・育児に関する相談に保健師・栄養士などが応じています。,36.5435468,136.6494839
,1,電話相談,元町子育てホットライン,金沢市元町1-12-12,(076)251-3500,,月～金（8:30～17:00）,妊娠・出産・育児に関する相談に保健師・栄養士などが応じています。,36.5816533,136.666962
,1,電話相談,駅西子育てホットライン,金沢市西念3-4-25,(076)234-3500,,月～金（8:30～17:00）,妊娠・出産・育児に関する相談に保健師・栄養士などが応じています。,36.5898934,136.6353805
,1,電話相談,幼児なんでも110番,（一社）石川県私立幼稚園協会（幼稚園園長・主任教諭）,090-2125-9123,,毎月第２・４水曜日（10:00～16:00）,子育てについての不安や疑問など、ご相談ください。,36.5946816,136.6255726
,1,電話相談,家庭教育電話相談,石川県教育委員会（家庭教育電話相談員）,(076)263-1188,,月～金（9:00～17:00）,幼児から高校生までの保護者を対象とし、不登校や子どもとの関わり方など家庭教育全般の悩み相談を受け付けています。,36.3017577,136.3147351
,1,電話相談,家庭教育カウンセリング,石川県教育委員会（臨床心理士）,(076)263-1188,,毎月第３土曜日（要予約）,家庭教育カウンセラー（臨床心理士）による面接、相談を行っています。,36.3017577,136.3147351
,1,電話相談,パパママ・ホッとライン,子ども夢フォーラム（子ども夢フォーラムスタッフ）,（076）214-5666,,火～金（10:00～15:00）祝日・いしかわ子ども交流センター休館日は休み,ママやパパの子育てに関する不安や悩み、乳幼児や思春期のお子さんとの関わり方などについての電話相談を行っています。,36.5946816,136.6255726
