no,display,category,name,address,phone1,phone2,memo1,memo2,lat,lng
,1,地域型保育,内灘町　小規模保育　りす,石川県河北郡内灘町鶴ケ丘１丁目５２,076-286-0255,076-286-4230,学校法人誠美幼稚園,,36.6388958713404,136.6398060321808
,1,病児・病後児保育,石川県立中央病院　病児保育室　ひよこ,石川県金沢市鞍月東2-1,（076）238-7868,,,,36.5949871,136.630875
,1,病児・病後児保育,金沢大学　病児保育室　たんぽぽルーム,石川県金沢市宝町13-1,（076）265-2990,,,,36.5571509,136.6736014
,1,病児・病後児保育,健生クリニック　病児保育室　ほっとルーム,石川県金沢市平和町3-5-2,（076）241-9062,,,,36.5411417,136.6609221
,1,病児・病後児保育,城北病院　病児保育室　はっぴー,石川県金沢市京町20-3,（076）253-0561,,,,36.5824225,136.6564683
,1,病児・病後児保育,聖霊乳児院　病児デイサービスセンター,石川県金沢市長町1-5-30,（076）223-2980,,,,36.5656692,136.6503414
,1,病児・病後児保育,松田小児科医院　ひまわりるーむ,石川県金沢市片町2-13-13,（076）231-1260,,,,36.560917,136.6509888
,1,病児・病後児保育,横井小児科内科医院　病児保育室　こりすの里,石川県金沢市菊川1-10-3,（076）262-8551,,,,36.5511461,136.6621134
,1,病児・病後児保育,恵寿総合病院　病児保育室　あんず,石川県七尾市富岡町94,（0767）52-3211,,,,37.0507538,136.9615791
,1,病児・病後児保育,小松市民病院　こまつ病児保育ルーム,石川県小松市向本折町ホ60,（0761）23-2626,,,,36.3986303,136.4393331
,1,病児・病後児保育,加賀市民病院　病児・病後児保育室　はとぽっぽ,石川県加賀市大聖寺八間道65,（0761）73-5830,,,,36.3079069,136.3098136
,1,病児・病後児保育,山中温泉医療センター　このゆびとーまれ山中,石川県加賀市山中温泉上野町ル15-1,（0761）78-0301,,,,36.2535568,136.369354
,1,病児・病後児保育,白山市病児保育センター,石川県白山市倉光3-75-2,（076）276-0050,,,,36.5101648,136.5649092
,1,病児・病後児保育,能美市病児保育センター,石川県能美市大浜町ノ35-1,（0761）58-2277,,,,36.454628,136.4602657
,1,病児・病後児保育,ポニーポッシュ,石川県野々市市横宮町16-9,（076）248-7780,,,,36.5339666,136.6167038
,1,病児・病後児保育,金沢医科大学病院　病児保育室　すまいる,石川県河北郡内灘町字大学1-1,（076）218-8059,,,,36.6562239,136.6468333
,1,病児・病後児保育,市立輪島病院　院内保育所　ひまわり,石川県輪島市山岸町は1-1,（0768）22-2222,,病後児保育,,37.3840938,136.9055566
,1,病児・病後児保育,輪島市子育て支援センター,石川県輪島市河井町2-287-1,（0768）22-8031,,病後児保育,,37.3941343,136.9012258
,1,病児・病後児保育,子育て支援センター菅原,石川県野々市市菅原町8-33,（076）248-4634,,病後児保育,,36.5285367,136.6163455
,1,病児・病後児保育,NPO法人子ども館,石川県能美郡川北町字土室丙114-10,（076）277-3632,,病後児保育,,36.4731042,136.5470612
,1,ファミリーサポートセンター,金沢市ファミリー・サポート・センター,金沢市教育プラザ富樫内,（076）243-3410,,,,36.5613254,136.6562051
,1,ファミリーサポートセンター,七尾市ファミリー・サポート・センター,親子ふれあいランドあい・あい・あい内,（0767）52-1476,,,,37.043102,136.9675177
,1,ファミリーサポートセンター,こまつファミリー・サポート・センター,こまつまちづくり交流センターこまつ親子つどいの広場内,（0761）23-5477,,,,36.4083514,136.445571
,1,ファミリーサポートセンター,輪島市ファミリー・サポート・センター,輪島市子育て支援センター,（0768）22-8031,,,,37.3905901,136.8991957
,1,ファミリーサポートセンター,珠洲市ファミリー・サポート・センター,珠洲市子育て支援センター,（0768）82-5479,,,,37.4363473,137.2604364
,1,ファミリーサポートセンター,加賀市ファミリー・サポート・センター,親子ほっとステーション内,（0761）78-4747,,,,36.2623288,136.3972157
,1,ファミリーサポートセンター,羽咋市ファミリー・サポート・センター,羽咋市健康福祉課,（0767）22-0066,,,,36.8935987,136.7789962
,1,ファミリーサポートセンター,かほく市ファミリー・サポート・センター,かほく市愛・遊・館内,（076）281-3582,,,,36.7690828,136.7222643
,1,ファミリーサポートセンター,白山市ファミリー・サポート・センター,白山市子育て支援センターげんきっこ,（076）274-1592,,,,36.5144271,136.5658915
