no,display,category,name,address,phone1,phone2,memo1,memo2,lat,lng,area
,,nursery,鵜飼保育所,珠洲市宝立町春日野甲字８番地１,0768‐84-1408,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.405105,137.240742,
,,nursery,上戸保育所,珠洲市上戸町寺社い字８７番地,0768‐82-1527,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.428078,137.247792,
,,nursery,飯田保育所,珠洲市若山町出田４１部７番地,0768‐82-0479,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.440688,137.262833,
,,nursery,若山保育所,珠洲市若山町火宮８部１４番地１,0768‐82-0142,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.45763,137.237973,
,,nursery,正院保育所,珠洲市正院町正院を部４番地,0768‐82-1974,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.444844,137.286848,
,,nursery,蛸島保育所,珠洲市蛸島町鉢ケ崎部１番１,0768‐82-1952,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.442525,137.319403,
,,nursery,小泊保育所,珠洲市三崎町小泊１７部３３番地１,0768‐88-2147,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.451089,137.358512,
,,nursery,粟津保育所,珠洲市三崎町粟津ロ部３５番地１,0768‐88-2001,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.485642,137.338668,
,,nursery,大谷保育所,珠洲市大谷町５字２８番地１,0768‐87-2011,,8:00～16:30（月～金曜日）、8:00～12:30（土曜日）,,37.499246,137.173452,
,,nursery,珠洲市児童館,珠洲市飯田町９部１５５番地,0768‐82-5479,,8:30～17:00,,37.440477,137.263958,
,,児童クラブ,宝立児童クラブ,珠洲市宝立町鵜飼丑部８３番地,0768‐84‐2690,,放課後～18:00（8月を除く月～金曜日）、8:00～12:30（土曜日、8月の月～金曜日）,,37.403237,137.237993,
,,児童クラブ,上戸児童クラブ,珠洲市上戸町寺社５字７４番地の２,0768‐82‐0502,,放課後～18:00（8月を除く月～金曜日）、8:00～12:30（土曜日、8月の月～金曜日）,,37.427237,137.249932,
,,児童クラブ,直児童クラブ,珠洲市野々江町二部３８番地の２,0768‐82‐3915,,放課後～18:00（8月を除く月～金曜日）、8:00～12:30（土曜日、8月の月～金曜日）,,37.443949,137.281698,
,,児童クラブ,飯田児童クラブ,珠洲市飯田町１９部６１番地,0768‐82‐2234,,放課後～18:00（8月を除く月～金曜日）、8:00～12:30（土曜日、8月の月～金曜日）,,37.439955,137.259781,
,,学校,宝立小学校,珠洲市宝立町鵜飼丑部８３番地,0768-84-1119,0768-84-1119,,,37.403237,137.237993,
,,学校,上戸小学校,珠洲市上戸町寺社５字７４番地の２,0768-82‐0168,0768-82‐0168,,,37.427237,137.249932,
,,学校,飯田小学校,珠洲市飯田町１９部６１番地,0768-82‐0044,0768-82‐0044,,,37.439955,137.259781,
,,学校,直小学校,珠洲市野々江町ニ部３８番地の２,0768-82‐0313,0768-82‐0313,,,37.443949,137.281698,
,,学校,若山小学校,珠洲市若山町古蔵１１部１００番地の１,0768-82‐0240,0768-82‐0240,,,37.456478,137.242632,
,,学校,正院小学校,珠洲市正院町川尻１部３９番地,0768-82‐0404,0768-82‐0404,,,37.445435,137.296505,
,,学校,蛸島小学校,珠洲市蛸島町ワ部６９番地,0768-82‐0524,0768-82‐0524,,,37.442814,137.313529,
,,学校,みさき小学校,珠洲市三崎町粟津ロ部１０番地の１,0768-88‐2019,0768-88‐2019,,,37.486834,137.339245,
,,学校,西部小学校,珠洲市大谷町２部４７番甲地,0768-87‐2016,0768-87‐2016,,,37.501186,137.171269,
,,学校,宝立中学校,珠洲市宝立町鵜飼丑部８３番地,0768-84-1106,0768-84-1106,,,37.403237,137.237993,
,,学校,緑丘中学校,珠洲市野々江町６の部１番地,0768-82‐0250,0768-82‐3199,,,37.44656,137.272807,
,,学校,三崎中学校,珠洲市三崎町宇治ヨ部１１４番地,0768-88‐2423,0768-88‐2423,,,37.473969,137.342425,
,,学校,大谷中学校,珠洲市大谷町１字７８番地,0768-87‐2019,0768-87‐2019,,,37.499946,137.176374,
,,nursery,市立河原田保育所,石川県輪島市東中尾町16,（0768）22-1206,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.3682095,136.9073185,
,,nursery,市立くしひ保育所,石川県輪島市門前町日野尾ニの75番地,（0768）42-3085,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.2882752,136.7724705,
,,nursery,市立鵠巣保育所,石川県輪島市大野町菰沢35,（0768）22-3471,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.3975766,136.9335452,
,,nursery,市立松風台保育所,石川県輪島市門前町道下4の2番地1,（0768）43-1130,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.2877245,136.7446115,
,,nursery,市立南志見保育所,石川県輪島市里町32-47,（0768）34-1212,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.4309567,137.0341607,
,,nursery,市立鳳来保育所,石川県輪島市鳳至町石浦町83-1,（0768）22-2231,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.3985003,136.8969926,
,,nursery,市立三井保育所,石川県輪島市三井町長沢2-11,（0768）26-1201,,(月～金)7:30～18:30 (土)7:30～13:00,２か月後から,37.3156458,136.90263,
,,nursery,河井保育所,石川県輪島市河井町13-120-1,（0768）22-2230,,(月～金)7:15～18:15 (土)7:15～18:00,２か月後から,37.3923597,136.9071726,
,,nursery,まちの保育園,石川県輪島市町野町広江4-48,（0768）32-0209,,(月～金)7:15～18:15 (土)7:15～12:45,２か月後から,37.4282072,137.087581,
,,nursery,わじまミドリ保育園,石川県輪島市水守町堂端14番,（0768）23-1300,,(月～金)7:15～18:15 (土)7:15～18:00,２か月後から,37.3888549,136.8917505,
,,nursery,神杉保育園,石川県鳳珠郡穴水町字中居ワ20,（0768）56-1344,,(月～金)7:00～18:00,２か月後から,37.2306015,136.9470794,
,,nursery,小木保育園,石川県鳳珠郡能登町小木4-59,（0768）74-1107,,(月～金)7:00～18:30,２か月後から,37.2984712,137.223568,
,,nursery,松波保育園,石川県鳳珠郡能登町松波8-2-1,（0768）72-1157,,(月～金)7:00～18:30,２か月後から,37.3556596,137.2404522,
,,nursery,海の星幼稚園,石川県輪島市河井町13部29の4,（0768）22-2087,,（月～金）7:15～18:15　（土）7:15～12:30,２か月後から,37.3940479,136.9117864,
,,nursery,和光幼稚園・あいこう園,石川県輪島市河井町23-16-1,（0768）22-6002,,（月～金）7:15～18:45 （土）7:15～12:30,２か月後から,37.3925678,136.9016703,
,,nursery,平和こども園,石川県鳳珠郡穴水町字川島タ2,（0768）52-2130,,6:40～19:00,２か月後から,37.2342889,136.9086665,
,,nursery,平和こども園かぶと,石川県鳳珠郡穴水町字甲レ177-1,（0768）58-1240,,7:30～17:30,２か月後から,37.2057208,137.0258563,
,,nursery,町立鵜川保育所,石川県鳳珠郡能登町鵜川20-24,（0768）67-1623,,7:30～18:00,６か月後から,37.2545247,137.0837885,
,,nursery,町立上町保育所,石川県鳳珠郡能登町天坂い65,（0768）76-0136,,7:30～18:00,６か月後から,37.353759,137.1052518,
,,nursery,町立しらさぎ保育所,石川県鳳珠郡能登町宇出津ニ-22,（0768）62-0304,,7:30～18:30,６か月後から,37.3091235,137.1528825,
,,nursery,町立高倉保育所,石川県鳳珠郡能登町姫12-36,（0768）62-0670,,7:30～18:00,６か月後から,37.3021731,137.2085332,
,,nursery,町立ひばり保育所,石川県鳳珠郡能登町崎山1-73,（0768）62-1502,,7:30～18:30,６か月後から,37.3028409,137.1491274,
,,nursery,町立柳田保育所,石川県鳳珠郡能登町柳田ロ245-1,（0768）76-0154,,7:30～18:30,６か月後から,37.3733229,137.0872419,
