no,co_id,shop_id,name,zip,address,bilding,lat,lng,phone,fax,url,servicetime,holiday,op_1,op_2,op_3,op_4,op_5,op_6,op_7,op_8,op_9,op_10,op_11,op_12,op_13
,co792115,ofid0001,ABCこども英語・英会話　松ヶ枝教室,920-0864,石川県金沢市高岡町7－23,松ヶ枝公民館,36.5699033,136.6528507,080-1523-1753,,http://abc-kodomo-eikaiwa.flips.jp/,火曜日＆金曜日　１４：４５～１８：２０,,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,子ども特典,,,,小上がり（お座敷）
,co101459,ofid0001,hair azblue,926-0852,石川県七尾市小島町大開地3-5,フリーデコート103,37.0561205, 136.9538462,0767-53-2008,,,9時30分から19時,毎週月曜日、第1・3日曜日,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co100163,ofid0001,Heart&Beer　日本海倶楽部,927-0605,石川県鳳珠郡能登町字立壁92番地,,37.3372296, 137.2584322,0768-72-8181,0768-72-8282,http://www.nihonkai-club.com,11:30～22:00,水曜日（祝日は営業）,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co100791,ofid0001,MOKUMOKU工房,920-0211,石川県金沢市湊４－２３,,36.60534379,136.6171682,076-268-7455,076-267-4931,http://moku2.jp/,10:00～16:00,不定休,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co111280,ofid0001,α floor,921-8807,石川県野々市市二日市町29街区20,,36.537755, 136.5986276,076-248-7555,,http://alpha-floor.com/,レッスンは月～金　９:００～２２:００,土・日・祝　（イベントが入り次第ＯＰＥＮします！）,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co101418,ofid0001,あおば保育園,923-0861,石川県小松市沖町レ39,,36.3967409, 136.4639393,0761-21-3141,0761-24-0545,http://www.aobahoiku.jp/,7:00～18:00（～20：00）,不定休　日曜、祭日　12/29～1/3　,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,キッズコーナー,,,,,,
,co111071,ofid0001,あかくら保育園,929-2123,石川県七尾市三引町15-22-1,,37.058662,136.879791,0767-68-3107,,,（月～土）7:00~20:00,日曜日・祝日,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110987,ofid0001,あかね保育園,924-0032,石川県白山市村井町2622-1,,36.519271,136.561445,076-276-1102,,,（月～金）7:00~19:00、（土）7:00~18:00,,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co111074,ofid0001,あさひ保育園,926-0826,石川県七尾市飯川町101-71-7,,37.009275,136.933845,0767-57-1418,,http://www.kosodate-web.com/asahi-ho/,（月～土）7：00～19：00,日曜日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co110990,ofid0001,いしかわ保育園,924-0052,石川県白山市源兵島町288,,36.484062,136.528936,076-277-1011,,,（月～金）7:00~19:00　（土）7:00~18:00,,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co101371,ofid0002,いしかわ子ども交流センター,921-8101,石川県金沢市法島町11-8,,36.5459809,136.6634746,076-243-6501,,http://www.i-oyacomi.net/i-kodomo/default.php,9:00～17：00（16:30）,月、第3日曜日、年末年始など,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110011,ofid0001,いしかわ子ども交流センター七尾館,926-0024,石川県七尾市古屋敷町カ10-3,,37.024004,136.973033,0767-53-3396,,http://www4.ocn.ne.jp/~nanao/,9：00～17：00　9：00～16：30（11月～2月）,月・第3日曜（月曜が祝日の場合はその翌日）,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110013,ofid0001,いしかわ子ども交流センター小松館,923-0302,石川県小松市符津町念佛3-1,,36.3550412, 136.4205394,0761-43-1075,,http://www14.ocn.ne.jp/~codomoko/,9：00～17：00（3月～10月）　9：00～16：30（11月～2月）,月・第3日曜日・祝日の翌日（土日月を除く）,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co110008,ofid0001,いしかわ総合スポーツセンター,920-0355,石川県金沢市稚日野町北222,,36.5793526, 136.5984092,076-268-2222,,http://www.ishikawa-spc.jp/,9：00～22：00,年末年始,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co034453,ofid0001,かなざわはこまち,920-0909,石川県金沢市袋町１番１号,,36.5722890,136.6567662,076-225-8600,,http://www.kanazawahakomachi.jp/,10：00～20：00（飲食フロアーは10：00～22：00）,不定休,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co110019,ofid0001,かほく市立大海保育園,929-1207,石川県かほく市夏栗い43-1,,36.778492,136.748672,076-281-3682,,,（月～土）7:00~19:00,日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co111237,ofid0001,こまつ芸術劇場うらら,923-0921,石川県小松市土居原710,,36.4032252, 136.4522038,0761-20-5500,,http://www.komatsu-urara.com/index.aspx,9：00～18：00,水,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co110094,ofid0001,こまつ親子つどいの広場,923-0806,石川県小松市小寺町乙80-1,,36.408002, 136.4523176,0761-23-5477,,http://www.city.komatsu.lg.jp/,10：00～16：30（月～土）,祝日・日・年末年始,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110027,ofid0001,すみれ保育園,921-8033,石川県金沢市寺町4-1-2,,36.552603,136.653185,076-241-1932,,http://www.spacelan.ne.jp/~kodom044/,（月～土）7：00～19：00,日曜・祭日・年末年始,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co111113,ofid0001,とりやのの保育園,929-1703,石川県鹿島郡中能登町春木11-38,,36.994808,136.901589,0767-74-0135,,,（月～土）7：00～20：00,,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110003,ofid0001,ななおあいじ保育園,926-0022,石川県七尾市天神川原町ロ32-1,,37.03147754,136.972808,0767-52-3508,,http://www.kosodate-web.com/aiji/,（月～土）7：00～19:00,日・祝日・年末年始,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110003,ofid0002,ななおあいじ子育て支援センター,926-0022,石川県七尾市天神川原町ロ32番地の1,,37.0314951,136.972762,0767-52-3508,0767-53-7033,http://www.kosodate-web.com/aiji/,午前7時～午後7時,日曜日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co110060,ofid0001,のとじま子育て支援センター,926-0212,石川県七尾市能登島佐波町15-5,のとじま保育園内,37.1116635, 136.9850295,0767-84-0123,,,,,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co101512,ofid0001,はづ貴,920-0271,石川県河北郡内灘町鶴ヶ丘4-1-159,,36.6440973, 136.6367037,076-286-1810,,http://haduki.main.jp/,11：00～17：00（日曜日は正午～15：00）,毎週月曜日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co111081,ofid0001,ひまわり保育園,926-0033,石川県七尾市千野町は7-1,,37.017156,136.956355,0767-57-2800,,http://www.with-himawari.jp/,（月～土）7：00～19：00,休日保育のため祝日・日曜日は不定休です。年末年始,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co101252,ofid0002,ほけんの窓口　金沢入江店,921-8011,石川県金沢市入江１丁目３０番,,36.5654706,136.6309820,0120-78-5066,076-259-5007,http://tislook.com/,１０：００～１９：００,年末年始（12/29～1/4日）,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,キッズコーナー,,,,,個室,
,co101252,ofid0001,ほけんの窓口　金沢店,920-0022,石川県金沢市北安江2-24-8,信開北安江ビル1階,36.5876096, 136.6481975,0120-28-5066,076-265-5099,http://tislook.com,10:00～19:00,年末年始（12/29～1/4日）,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,キッズコーナー,,,,,個室,
,co101252,ofid0003,ほけんの窓口イオンタウン野々市,921-8821,石川県野々市市白山町４番１号,,36.5270924, 136.6125236,0120-28-5166,076-259-5010,http://tislook.com/,１０：００～２１：００,無休,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,キッズコーナー,,,,,,
,co101314,ofid0001,まちづくり会社　江尻屋,927-0026,石川県鳳珠郡穴水町大町ニ34,,37.2295644, 136.9066308,0768-52-0911,0768-52-0922,http://ejiriya.com,9:00～18:00,不定休,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110032,ofid0001,まどか第２保育園,920-3115,石川県金沢市弥勒町カ112,,36.614494,136.687732,076-257-1260,,,（月～土）7：00～19：00,日・祝日,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co180047,ofid0002,めいてつ・エムザ,920-0855,石川県金沢市武蔵町15-1,,36.572674, 136.6549909,076-260-1111,076-260-2191,http://www.meitetsumza.com/,10:00～20:00（レストラン街、スターバックスは22:00まで営業）,不定休（元日・2月・8月以外は休業日なし）,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co111083,ofid0001,やまと保育園,926-0014,石川県七尾市矢田町3-43-1,,37.040755,136.976662,0767-53-2710,,http://www.kosodate-web.com/yamato/,（月～土）7：00～19：00,日曜日・祝日,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110079,ofid0001,よしたけ保育園,923-0835,石川県小松市吉竹町ぬ47,,36.387187,136.480844,0761-24-6763,,http://yoshitake.bambino.cc/yoshitake/index.htm,（月～土）7：00～19：00,年末年始,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
